ENST00000592379 	ENST00000422514 ENST00000582736 ENST00000475608 ENST00000471152 ENST00000438478 	133 	619 21 6 6 19 	138 	619 21 6 6 19 	48 	51 51 51 51 51 
ENST00000514253 	ENST00000511844 	492 	88 	492 	88 	53 	52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000434913 ENST00000517577 	3782 	103 101 242 243 	3782 	103 101 242 243 	53 	52 52 52 52 
ENST00000284878 ENST00000458078 ENST00000502891 ENST00000528017 ENST00000251269 ENST00000592350 ENST00000484427 ENST00000471144 ENST00000398738 ENST00000543600 ENST00000334464 ENST00000378268 ENST00000415930 ENST00000467201 ENST00000194130 ENST00000524419 ENST00000503510 ENST00000375943 ENST00000483979 ENST00000571626 ENST00000605421 ENST00000551929 ENST00000551385 	ENST00000461813 ENST00000597695 ENST00000595607 ENST00000315849 ENST00000439986 ENST00000585905 ENST00000598768 ENST00000413176 ENST00000572887 ENST00000219240 ENST00000396893 	4348 2358 341 1074 2370 2273 3475 1972 1735 1726 5667 324 3127 1325 3310 465 149 2309 838 838 62 42 42 	314 1752 2093 1823 3285 1694 179 749 1855 1705 3028 	4358 2368 351 1084 2380 2283 3485 1982 1745 1736 5677 334 3137 1335 3320 475 159 2319 848 848 72 52 52 	314 1752 2093 1823 3285 1694 179 749 1855 1705 3028 	41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 41 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000534030 	ENST00000530320 	418 	489 	418 	489 	36 	52 
ENST00000542515 ENST00000569105 	ENST00000369796 ENST00000369795 ENST00000485775 	1912 403 	1751 1889 1987 	1912 403 	1751 1889 1987 	53 53 	53 53 53 
ENST00000564176 ENST00000568142 	ENST00000439211 	2913 1550 	2480 	2920 1557 	2480 	31 31 	53 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000510019 	276 	182 192 237 	276 	182 192 237 	53 	53 53 53 
ENST00000483767 ENST00000327044 ENST00000477976 	ENST00000455979 	1523 2702 4114 	1622 	1523 2702 4114 	1622 	52 52 52 	53 
ENST00000536118 	ENST00000393640 ENST00000342907 	1789 	4981 4016 	1790 	4981 4016 	36 	32 32 
ENST00000463943 	ENST00000335179 ENST00000545072 	363 	87 30 	363 	87 30 	53 	50 50 
ENST00000320934 	ENST00000529622 	4547 	337 	4547 	337 	53 	52 
ENST00000579766 ENST00000417404 	ENST00000592933 ENST00000573794 ENST00000590734 ENST00000435469 	823 1675 	86 148 86 148 	834 1686 	86 148 86 148 	35 35 	53 53 53 53 
ENST00000398107 ENST00000425369 ENST00000560878 ENST00000561088 ENST00000301981 ENST00000372592 ENST00000308941 ENST00000419552 ENST00000464848 ENST00000380698 ENST00000226279 ENST00000288266 ENST00000503038 	ENST00000479162 ENST00000607772 ENST00000586331 ENST00000574474 ENST00000414802 ENST00000368614 ENST00000392638 ENST00000368610 ENST00000378679 ENST00000319854 ENST00000471668 ENST00000371199 ENST00000355640 ENST00000357578 ENST00000373242 ENST00000288699 ENST00000484882 ENST00000301215 ENST00000556831 ENST00000463436 ENST00000583972 ENST00000497417 ENST00000261326 ENST00000546715 ENST00000505031 ENST00000295628 ENST00000317449 ENST00000530932 ENST00000603798 ENST00000262126 ENST00000383440 ENST00000358689 ENST00000522255 ENST00000312675 ENST00000543006 ENST00000588278 ENST00000360803 ENST00000501515 ENST00000607738 ENST00000355754 ENST00000592624 ENST00000302692 ENST00000511335 ENST00000405000 ENST00000594204 ENST00000571346 ENST00000391750 ENST00000424807 ENST00000472824 ENST00000313146 ENST00000447944 ENST00000260604 ENST00000604207 ENST00000605232 ENST00000604311 ENST00000575959 ENST00000571923 ENST00000587996 ENST00000590939 ENST00000592538 ENST00000586069 ENST00000586303 ENST00000575296 ENST00000570726 ENST00000585529 ENST00000587221 ENST00000589439 ENST00000576704 ENST00000608143 ENST00000605489 ENST00000604151 ENST00000489074 ENST00000510256 	3348 3200 83 449 2459 561 48 44 2715 1828 5405 5346 0 	2018 11531 1281 3636 1462 4425 4610 4134 3567 2917 1773 5269 5276 3642 5162 3504 3971 3368 482 243 1758 416 4505 405 154 4928 2088 6 1851 10297 10245 2285 849 8524 8467 2662 3356 331 1898 4565 1147 2455 4465 3682 451 661 2586 2560 2573 2698 3133 3147 2586 2560 1281 2586 2560 1281 1281 1281 1281 1281 2586 2560 1281 1281 1281 2560 2563 2605 2614 555 555 	3348 3200 83 449 2459 561 48 44 2715 1828 5405 5346 0 	2018 11531 1281 3636 1462 4425 4610 4134 3567 2917 1773 5269 5276 3642 5162 3504 3971 3368 482 243 1758 416 4505 405 154 4928 2088 6 1851 10297 10245 2285 849 8524 8467 2662 3356 331 1898 4565 1147 2455 4465 3682 451 661 2586 2560 2573 2698 3133 3147 2586 2560 1281 2586 2560 1281 1281 1281 1281 1281 2586 2560 1281 1281 1281 2560 2563 2605 2614 555 555 	53 53 53 53 53 53 53 53 53 53 53 53 53 	50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 
ENST00000510126 ENST00000288699 ENST00000484882 ENST00000592434 ENST00000460780 ENST00000503459 	ENST00000496760 ENST00000543450 ENST00000311128 ENST00000396825 	86 3437 3904 1192 8 445 	676 2388 3558 1768 	86 3437 3904 1192 8 445 	676 2388 3558 1768 	53 53 53 53 53 53 	53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	363 	87 30 	363 	87 30 	53 	50 50 
ENST00000335117 ENST00000571001 	ENST00000592570 ENST00000359114 ENST00000473258 ENST00000591006 	1954 1954 	196 1542 918 298 	1959 1959 	196 1542 918 298 	48 48 	39 39 39 39 
ENST00000551193 	ENST00000548909 ENST00000551467 ENST00000548098 	303 	577 699 265 	303 	577 699 265 	52 	53 53 53 
ENST00000449131 	ENST00000517577 	3740 	241 	3740 	241 	53 	53 
ENST00000302036 ENST00000449570 ENST00000302008 ENST00000383826 ENST00000352937 ENST00000349503 	ENST00000411972 	1315 1240 1286 789 487 1114 	174 	1315 1240 1286 789 487 1114 	174 	53 53 53 53 53 53 	53 
ENST00000514253 	ENST00000511844 	494 	80 	494 	80 	53 	53 
ENST00000485983 	ENST00000348428 ENST00000345724 ENST00000591792 	5556 	596 450 259 	5556 	596 450 259 	53 	38 38 38 
ENST00000574928 ENST00000424347 ENST00000429591 	ENST00000399052 	3495 3613 1636 	618 	3495 3613 1636 	624 	51 51 51 	32 
ENST00000463943 	ENST00000335179 ENST00000545072 	363 	77 20 	363 	77 20 	53 	52 52 
ENST00000439986 ENST00000392869 	ENST00000416475 	3491 4068 	1243 	3491 4068 	1243 	53 53 	52 
ENST00000547408 ENST00000546845 	ENST00000394023 	566 373 	4207 	566 373 	4207 	52 52 	52 
ENST00000579192 ENST00000380067 ENST00000585311 ENST00000580340 ENST00000579681 ENST00000396278 	ENST00000580777 	1306 815 875 801 834 1382 	661 	1307 816 876 802 835 1383 	661 	52 52 52 52 52 52 	53 
ENST00000563480 ENST00000395589 	ENST00000519737 	391 391 	1047 	391 391 	1047 	50 50 	52 
ENST00000315249 ENST00000595376 ENST00000589138 ENST00000518695 	ENST00000504986 ENST00000325094 	4374 2150 1790 3502 	3100 3068 	4374 2150 1790 3502 	3100 3068 	51 51 51 51 	53 53 
ENST00000592379 	ENST00000582736 	41 	92 	41 	92 	53 	53 
ENST00000368376 ENST00000316721 ENST00000609421 ENST00000481771 	ENST00000572338 ENST00000574670 ENST00000571897 ENST00000368373 ENST00000327247 ENST00000464536 ENST00000459805 ENST00000486869 ENST00000368374 ENST00000486197 ENST00000473223 	1538 1347 990 2485 	2164 2275 448 2164 2275 448 2806 1772 1761 1712 2600 	1538 1347 990 2485 	2164 2275 448 2164 2275 448 2806 1772 1761 1712 2600 	53 53 53 53 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000592379 	ENST00000475608 	149 	20 	149 	20 	53 	52 
ENST00000331552 ENST00000537399 ENST00000544883 	ENST00000407360 	905 1187 734 	1003 	905 1187 734 	1003 	53 53 53 	51 
ENST00000229214 	ENST00000456650 	1978 	641 	1978 	641 	53 	52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	3000 2901 2655 	159 288 	3000 2901 2655 	171 300 	53 53 53 	41 41 
ENST00000477571 	ENST00000515576 	3406 	752 	3423 	752 	31 	35 
ENST00000584196 ENST00000582966 ENST00000476192 ENST00000403396 ENST00000497426 	ENST00000309955 	1820 1820 6975 3299 6975 	3717 	1840 1840 6995 3319 6995 	3717 	31 31 31 31 31 	52 
ENST00000424911 ENST00000420084 ENST00000419005 ENST00000430856 ENST00000427251 ENST00000446873 ENST00000415450 	ENST00000383605 ENST00000383619 ENST00000376822 ENST00000462536 ENST00000461996 ENST00000492107 ENST00000549224 ENST00000425848 ENST00000461583 ENST00000470915 ENST00000445222 ENST00000431930 ENST00000444289 ENST00000416096 ENST00000485166 ENST00000468995 ENST00000465498 ENST00000552193 ENST00000551578 ENST00000551120 ENST00000456012 ENST00000470780 ENST00000450342 ENST00000473059 ENST00000481018 ENST00000462184 ENST00000550728 ENST00000396634 ENST00000376806 ENST00000376802 ENST00000495183 ENST00000479320 ENST00000461903 ENST00000376809 ENST00000454091 ENST00000488889 ENST00000414592 ENST00000464713 ENST00000478258 ENST00000462986 ENST00000552493 ENST00000412585 ENST00000498007 ENST00000434333 ENST00000474381 ENST00000443552 ENST00000417978 ENST00000442939 ENST00000490454 ENST00000479675 ENST00000479969 ENST00000549869 ENST00000547112 ENST00000552498 ENST00000583265 ENST00000579721 	48 48 48 48 48 48 48 	561 529 225 222 220 220 273 307 222 241 378 558 529 225 222 220 220 242 264 264 561 529 225 222 220 220 273 561 529 225 222 220 220 242 561 529 225 222 220 220 225 249 241 378 95 558 529 225 222 220 220 242 264 264 304 220 	48 48 48 48 48 48 48 	561 529 225 222 220 220 273 307 222 241 378 558 529 225 222 220 220 242 264 264 561 529 225 222 220 220 273 561 529 225 222 220 220 242 561 529 225 222 220 220 225 249 241 378 95 558 529 225 222 220 220 242 264 264 304 220 	45 45 45 45 45 45 45 	35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 
ENST00000556319 	ENST00000559834 ENST00000561036 	189 	712 279 	189 	712 279 	53 	53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	365 	87 30 	365 	87 30 	48 	50 50 
ENST00000449131 	ENST00000498161 ENST00000492727 ENST00000450676 ENST00000599364 	4129 	50 69 71 50 	4129 	50 69 71 50 	51 	53 53 53 53 
ENST00000562824 ENST00000563088 	ENST00000564370 	926 993 	819 	926 993 	819 	52 52 	53 
ENST00000314675 	ENST00000319041 	2117 	620 	2117 	620 	53 	53 
ENST00000361567 	ENST00000361681 	1509 	468 	1509 	468 	52 	52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2959 2860 2614 	223 	2959 2860 2614 	223 	53 53 53 	53 
ENST00000599904 ENST00000359939 ENST00000547389 	ENST00000319545 	2006 1946 2046 	1844 	2006 1946 2046 	1844 	38 38 38 	53 
ENST00000564755 	ENST00000546591 ENST00000501597 ENST00000546176 ENST00000544920 ENST00000575972 	177 	195 76 35 34 34 	180 	195 76 35 34 34 	50 	52 52 52 52 52 
ENST00000419932 	ENST00000553027 ENST00000551694 	232 	3993 2140 	232 	3993 2140 	53 	53 53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4159 	84 86 	4159 	84 86 	52 	53 53 
ENST00000590333 ENST00000460658 ENST00000534529 ENST00000370791 ENST00000294485 	ENST00000367619 	73 4888 1604 5067 3417 	3701 	73 4888 1604 5067 3417 	3701 	53 53 53 53 53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	70 13 	376 	70 13 	53 	53 53 
ENST00000334121 ENST00000522912 ENST00000520953 ENST00000380918 ENST00000284041 ENST00000520580 ENST00000519259 	ENST00000552564 ENST00000293379 	1366 1393 1193 1519 1140 2224 6674 	4782 4230 	1366 1393 1193 1519 1140 2224 6674 	4782 4230 	52 52 52 52 52 52 52 	33 33 
ENST00000309733 ENST00000392857 	ENST00000481617 	8100 5066 	2706 	8102 5068 	2706 	51 51 	53 
ENST00000265843 ENST00000428840 ENST00000443411 ENST00000470153 ENST00000484365 ENST00000543897 ENST00000553632 ENST00000592790 ENST00000423071 ENST00000555661 ENST00000249344 ENST00000600519 ENST00000585388 ENST00000366385 ENST00000553159 	ENST00000466764 ENST00000376755 ENST00000595280 ENST00000600134 	7164 7120 6806 494 323 807 115 1135 357 2841 3800 3619 619 16 35 	1139 1003 1139 1003 	7164 7120 6806 494 323 807 115 1135 357 2841 3800 3619 619 16 35 	1139 1003 1139 1003 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 53 53 53 
ENST00000603274 	ENST00000359635 ENST00000479203 ENST00000493512 ENST00000466304 	197 	138 97 116 253 	197 	138 97 116 253 	51 	53 53 53 53 
ENST00000592379 	ENST00000475608 	56 	20 	56 	20 	53 	52 
ENST00000514253 	ENST00000511844 	498 	137 	498 	137 	53 	52 
ENST00000592379 	ENST00000582736 	30 	93 	30 	93 	53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	75 73 215 	3744 	75 73 215 	53 	52 52 52 
ENST00000557781 	ENST00000471853 	963 	7 	977 	24 	39 	36 
ENST00000514253 	ENST00000510019 	485 	218 	485 	218 	52 	53 
ENST00000479519 ENST00000420141 	ENST00000462878 	1227 3051 	329 	1227 3051 	344 	37 37 	31 
ENST00000526890 ENST00000593095 ENST00000590940 ENST00000589458 ENST00000587681 ENST00000374296 ENST00000576252 	ENST00000411731 	4523 443 364 665 433 2582 16 	942 	4523 443 364 665 433 2582 16 	942 	31 31 31 31 31 31 31 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	80 23 	376 	80 23 	53 	50 50 
ENST00000370380 ENST00000313598 	ENST00000353047 ENST00000434271 	281 1901 	3092 3076 	281 1901 	3092 3076 	36 36 	52 52 
ENST00000515098 	ENST00000298317 ENST00000533628 ENST00000526942 	3911 	1314 1175 1281 	3911 	1314 1175 1281 	53 	52 52 52 
ENST00000514253 	ENST00000510019 	484 	230 	484 	230 	53 	52 
ENST00000366601 ENST00000472011 ENST00000465463 ENST00000406207 ENST00000543662 	ENST00000366600 	1576 1452 240 1571 1659 	1662 	1576 1452 240 1571 1659 	1662 	53 53 53 53 53 	37 
ENST00000449131 	ENST00000530019 ENST00000534719 ENST00000533138 ENST00000529548 ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	3475 	319 274 301 295 113 111 313 113 113 	3475 	319 274 301 295 113 111 313 113 113 	53 	53 53 53 53 53 53 53 53 53 
ENST00000341509 ENST00000537670 ENST00000565875 	ENST00000535141 	1840 1534 1298 	2118 	1852 1546 1310 	2118 	41 41 41 	53 
ENST00000295851 	ENST00000457812 ENST00000308091 ENST00000439222 ENST00000419464 ENST00000423104 ENST00000453034 ENST00000418114 ENST00000374489 ENST00000374488 	15845 	1694 1923 1617 1542 1623 1923 1542 1848 1842 	15845 	1694 1923 1617 1542 1623 1923 1542 1848 1842 	53 	53 53 53 53 53 53 53 53 53 
ENST00000314675 	ENST00000319041 	2072 	539 	2072 	539 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	483 	111 70 	483 	111 70 	53 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	480 	132 91 	481 	132 91 	51 	53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1104 1121 	275 	1104 1121 	275 	53 53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3746 	89 87 229 	3746 	89 87 229 	53 	53 53 53 
ENST00000427908 	ENST00000511309 ENST00000510797 ENST00000502670 	1183 	348 389 434 	1183 	357 398 443 	53 	35 35 35 
ENST00000361681 	ENST00000361567 	472 	1710 	472 	1710 	53 	53 
ENST00000271375 	ENST00000555870 	7203 	4069 	7203 	4069 	53 	37 
ENST00000558583 	ENST00000392385 ENST00000550977 	6062 	633 1647 	6065 	633 1647 	49 	52 52 
ENST00000268489 ENST00000397992 	ENST00000224237 ENST00000487938 ENST00000469543 ENST00000421459 ENST00000495528 ENST00000544301 	11878 9655 	775 775 713 108 368 1043 	11886 9663 	775 775 713 108 368 1043 	32 32 	52 52 52 52 52 52 
ENST00000361681 	ENST00000361567 	490 	1744 	490 	1744 	35 	52 
ENST00000478631 ENST00000371513 	ENST00000571329 ENST00000526717 	1335 1162 	654 654 	1335 1162 	654 654 	53 53 	53 53 
ENST00000592379 	ENST00000475608 	71 	6 	71 	6 	53 	52 
ENST00000538789 	ENST00000472643 ENST00000531361 	1249 	638 469 	1249 	638 469 	53 	53 53 
ENST00000476417 ENST00000499638 ENST00000397924 ENST00000483767 ENST00000366847 ENST00000302787 ENST00000377698 ENST00000219596 ENST00000339854 ENST00000537682 ENST00000542898 ENST00000536980 ENST00000538326 ENST00000448637 ENST00000334116 ENST00000591340 ENST00000473880 ENST00000358337 ENST00000374723 ENST00000470972 ENST00000374720 ENST00000511753 ENST00000456766 	ENST00000361115 ENST00000513525 	2497 922 294 199 5049 5046 2933 3053 2513 3171 3264 2538 3151 2563 3522 3385 3470 2297 7726 8519 8597 616 -10 	699 790 	2511 936 308 213 5063 5060 2947 3067 2527 3185 3278 2552 3165 2577 3536 3399 3484 2311 7740 8533 8611 630 4 	699 790 	39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 	43 43 
ENST00000569066 ENST00000601010 	ENST00000257770 ENST00000416334 ENST00000437581 ENST00000369651 	936 464 	1062 307 100 1044 	953 481 	1062 307 100 1044 	31 31 	52 52 52 52 
ENST00000427606 	ENST00000555085 	765 	393 	765 	393 	40 	49 
ENST00000514253 	ENST00000510019 ENST00000511844 	480 	178 137 	481 	178 137 	51 	52 52 
ENST00000570780 ENST00000391950 	ENST00000441206 	1100 1117 	259 	1100 1117 	259 	53 53 	53 
ENST00000229307 	ENST00000361121 	1528 	2537 	1528 	2555 	31 	34 
ENST00000453246 ENST00000524463 	ENST00000334047 ENST00000370207 	3529 3977 	1842 1519 	3540 3988 	1842 1519 	40 40 	51 51 
ENST00000297477 	ENST00000585421 ENST00000536189 ENST00000262768 ENST00000586057 ENST00000592761 	5618 	304 374 611 352 399 	5618 	304 374 611 352 399 	51 	49 49 49 49 49 
ENST00000453904 	ENST00000469412 	1712 	2180 	1728 	2182 	32 	45 
ENST00000592379 	ENST00000582736 	40 	111 	40 	111 	53 	52 
ENST00000449131 	ENST00000498161 ENST00000599364 	4206 	45 45 	4206 	45 45 	51 	52 52 
ENST00000514253 	ENST00000510019 ENST00000429775 	465 	216 41 	465 	216 41 	53 	52 52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3072 2973 2727 	325 	3072 2973 2727 	325 	52 52 52 	51 
ENST00000330574 	ENST00000265713 ENST00000406337 ENST00000396930 	1353 	8942 9030 9074 	1353 	8942 9030 9074 	53 	52 52 52 
ENST00000430252 ENST00000540275 	ENST00000599232 	435 435 	41 	435 435 	42 	53 53 	50 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1109 1126 	249 200 	1109 1126 	249 200 	53 53 	52 52 
ENST00000174618 	ENST00000269593 ENST00000542955 	4442 	940 575 	4443 	940 575 	31 	53 53 
ENST00000592379 	ENST00000451137 ENST00000480413 	33 	385 263 	33 	385 263 	53 	53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3482 	825 358 381 376 382 383 381 358 	3482 	825 358 381 376 382 383 381 358 	52 	53 53 53 53 53 53 53 53 
ENST00000314675 	ENST00000319041 	2120 	627 	2120 	627 	51 	53 
ENST00000514253 	ENST00000510019 	482 	191 	482 	191 	53 	53 
ENST00000310613 ENST00000550534 ENST00000550321 	ENST00000334567 ENST00000550977 ENST00000522378 ENST00000397418 	3241 751 739 	1031 1625 2234 2234 	3241 751 739 	1031 1625 2234 2234 	53 53 53 	41 41 41 41 
ENST00000412368 ENST00000567120 ENST00000565302 ENST00000568689 ENST00000609261 ENST00000568313 ENST00000293882 ENST00000454700 	ENST00000566181 	1266 1433 1230 1254 1161 586 1356 1266 	447 	1266 1433 1230 1254 1161 586 1356 1266 	447 	53 53 53 53 53 53 53 53 	53 
ENST00000466493 ENST00000484083 ENST00000463210 	ENST00000461310 ENST00000486854 	1954 553 295 	458 577 	1954 553 295 	458 577 	53 53 53 	53 53 
ENST00000310613 	ENST00000260908 	4707 	3043 	4707 	3043 	52 	33 
ENST00000514253 	ENST00000511844 	495 	88 	495 	88 	53 	52 
ENST00000309424 ENST00000589804 	ENST00000340192 ENST00000590701 ENST00000589165 	2098 1622 	801 199 1359 	2099 1623 	801 199 1359 	51 51 	52 52 52 
ENST00000514253 	ENST00000511844 	511 	137 	511 	137 	53 	52 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3759 	208 90 88 230 208 	3764 	208 90 88 230 208 	47 	53 53 53 53 53 
ENST00000449131 	ENST00000517577 	3743 	241 	3743 	241 	52 	53 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000503605 	263 	208 218 399 	263 	208 218 399 	53 	53 53 53 
ENST00000565795 	ENST00000597197 	1084 	155 	1099 	155 	38 	43 
ENST00000534515 ENST00000528087 ENST00000524743 	ENST00000347667 	829 749 500 	5726 	830 750 501 	5726 	51 51 51 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2992 2893 2647 	243 	2992 2893 2647 	243 	53 53 53 	53 
ENST00000430252 ENST00000540275 	ENST00000601521 ENST00000596314 ENST00000599909 ENST00000598807 ENST00000596046 ENST00000196551 	268 268 	601 186 135 126 918 141 	268 268 	601 186 135 126 918 141 	51 51 	40 40 40 40 40 40 
ENST00000392975 ENST00000360793 ENST00000584031 ENST00000392976 ENST00000335390 ENST00000227155 ENST00000524750 ENST00000301335 ENST00000367561 	ENST00000424491 ENST00000512183 ENST00000338148 ENST00000465432 ENST00000409841 	2134 2128 2328 2281 1428 1564 686 6772 1895 	1127 563 599 308 429 	2134 2128 2328 2281 1428 1564 686 6772 1895 	1127 563 599 308 429 	51 51 51 51 51 51 51 51 51 	52 52 52 52 52 
ENST00000342039 ENST00000338938 ENST00000379430 	ENST00000559567 ENST00000560756 	1542 1542 1542 	1093 1093 	1542 1542 1542 	1093 1093 	53 53 53 	53 53 
ENST00000264235 	ENST00000324460 	4026 	1215 	4026 	1215 	52 	52 
ENST00000477128 	ENST00000512183 ENST00000338148 	813 	1068 1104 	819 	1068 1104 	33 	53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	354 	83 26 	354 	83 26 	53 	50 50 
ENST00000514253 	ENST00000511844 	496 	148 	496 	148 	53 	35 
ENST00000526743 	ENST00000528784 ENST00000526711 	1115 	844 711 	1115 	844 711 	53 	53 53 
ENST00000175756 ENST00000347849 ENST00000462321 	ENST00000559514 	2556 2197 1480 	1744 	2560 2201 1484 	1744 	31 31 31 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3010 2911 2665 	283 	3010 2911 2665 	283 	53 53 53 	52 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	393 	657 666 670 552 	393 	657 666 670 552 	53 	53 53 53 53 
ENST00000563480 ENST00000395589 	ENST00000519737 	417 417 	1052 	417 417 	1052 	53 53 	53 
ENST00000592379 	ENST00000582736 	38 	127 	38 	127 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000429775 	443 	235 60 	443 	235 60 	53 	53 53 
ENST00000449131 	ENST00000492727 	4179 	69 	4179 	69 	53 	53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4144 	77 79 	4144 	77 79 	53 	53 53 
ENST00000409887 	ENST00000308580 ENST00000544199 	2798 	2463 1998 	2812 	2463 1998 	39 	53 53 
ENST00000314675 	ENST00000319041 	2088 	532 	2088 	532 	53 	53 
ENST00000314675 	ENST00000319041 	2089 	597 	2089 	597 	53 	53 
ENST00000409887 	ENST00000299767 ENST00000548462 ENST00000552051 ENST00000550595 	3048 	2227 2400 274 97 	3049 	2227 2400 274 97 	52 	53 53 53 53 
ENST00000357721 	ENST00000542781 ENST00000535408 	5333 	682 686 	5333 	682 686 	52 	53 53 
ENST00000321945 ENST00000475656 	ENST00000455300 ENST00000597201 	2600 2455 	303 303 	2600 2455 	303 303 	50 50 	53 53 
ENST00000592379 	ENST00000582736 	41 	113 	41 	113 	53 	50 
ENST00000592379 	ENST00000368682 ENST00000354650 ENST00000229471 ENST00000368667 ENST00000368678 ENST00000229470 ENST00000356013 ENST00000538466 	40 	2007 2401 1732 2139 2300 2217 2208 1796 	40 	2007 2401 1732 2139 2300 2217 2208 1796 	53 	31 31 31 31 31 31 31 31 
ENST00000389677 	ENST00000493259 	10271 	1402 	10271 	1402 	52 	53 
ENST00000320934 	ENST00000529622 	4570 	338 	4570 	338 	53 	51 
ENST00000508814 	ENST00000510210 ENST00000512493 	280 	224 234 	280 	224 234 	53 	52 52 
ENST00000429656 ENST00000417944 ENST00000451967 ENST00000580020 	ENST00000457879 ENST00000438861 ENST00000468666 ENST00000547271 	425 425 425 425 	335 303 0 16 	443 443 443 443 	335 303 0 16 	33 33 33 33 	53 53 53 53 
ENST00000269221 ENST00000589215 ENST00000590868 ENST00000591367 ENST00000593081 ENST00000589409 	ENST00000588867 	2095 1882 1941 654 608 642 	1808 	2095 1882 1941 654 608 642 	1808 	53 53 53 53 53 53 	53 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	304 235 	150 109 	304 235 	150 109 	50 50 	53 53 
ENST00000366559 ENST00000366557 	ENST00000462265 ENST00000478849 	4144 3771 	486 647 	4144 3771 	486 647 	53 53 	52 52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	96 94 236 	3759 	96 94 236 	52 	53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000527132 ENST00000396505 ENST00000326932 	2172 2073 1827 	480 1505 1491 	2172 2073 1827 	480 1505 1491 	53 53 53 	53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3492 	813 346 369 364 370 371 569 369 401 369 346 	3492 	813 346 369 364 370 371 569 369 401 369 346 	53 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3472 	813 346 369 364 370 371 569 369 401 369 346 	3474 	813 346 369 364 370 371 569 369 401 369 346 	47 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000514253 	ENST00000510019 	463 	199 	463 	199 	53 	52 
ENST00000358748 ENST00000595609 	ENST00000299565 	2396 2396 	2941 	2397 2397 	2949 	31 31 	32 
ENST00000356387 	ENST00000290271 	10369 	2564 	10369 	2564 	52 	53 
