ENST00000361681 ENST00000506002 	ENST00000361567 ENST00000511037 	426 426 	1778 1778 	426 426 	1778 1778 	53 53 	34 34 
ENST00000514253 	ENST00000511844 	498 	92 	498 	92 	53 	53 
ENST00000520674 ENST00000518025 ENST00000297164 ENST00000518856 ENST00000444782 	ENST00000522783 	2250 2381 2427 1350 2075 	2277 	2250 2381 2427 1350 2075 	2277 	52 52 52 52 52 	52 
ENST00000479205 	ENST00000466618 	309 	2072 	309 	2072 	51 	51 
ENST00000565677 ENST00000219548 ENST00000569248 ENST00000564316 ENST00000565813 	ENST00000570037 ENST00000562111 	1450 1309 1772 619 221 	721 674 	1450 1309 1772 619 221 	721 674 	53 53 53 53 53 	53 53 
ENST00000352732 ENST00000355100 	ENST00000585042 	7889 7842 	447 	7889 7842 	447 	52 52 	53 
ENST00000592661 	ENST00000587133 ENST00000587200 	493 	636 490 	493 	636 490 	53 	53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	2174 2075 1829 	154 283 	2179 2080 1834 	154 283 	48 48 48 	52 52 
ENST00000592379 	ENST00000304743 ENST00000238570 	38 	8438 8222 	38 	8438 8222 	53 	53 53 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1110 1127 	203 241 	1110 1127 	203 241 	53 53 	53 53 
ENST00000439231 	ENST00000227507 	344 	2426 	347 	2426 	33 	53 
ENST00000540225 ENST00000256594 	ENST00000264896 	2304 2222 	3730 	2304 2222 	3730 	53 53 	52 
ENST00000514253 	ENST00000510019 	468 	202 	468 	202 	52 	52 
ENST00000514253 	ENST00000510019 ENST00000511844 	471 	178 137 	471 	178 137 	53 	52 52 
ENST00000241014 ENST00000395629 	ENST00000449465 	2897 3027 	315 	2897 3027 	315 	53 53 	52 
ENST00000435881 ENST00000246912 ENST00000346833 ENST00000590050 ENST00000588320 	ENST00000586337 ENST00000590760 ENST00000589505 ENST00000588544 ENST00000590931 	1584 1742 1490 1693 2003 	540 523 1103 761 908 	1584 1742 1490 1693 2003 	540 523 1103 761 908 	53 53 53 53 53 	52 52 52 52 52 
ENST00000514253 	ENST00000511844 	492 	142 	492 	142 	53 	51 
ENST00000480212 	ENST00000273963 ENST00000498875 ENST00000425278 	242 	4430 4130 3798 	247 	4430 4130 3798 	47 	53 53 53 
ENST00000485846 	ENST00000347053 	2306 	4411 	2306 	4411 	52 	51 
ENST00000359242 ENST00000294678 	ENST00000538183 ENST00000309733 ENST00000606080 ENST00000310613 	2553 2530 	8153 7583 4477 3833 	2573 2550 	8173 7603 4497 3853 	32 32 	33 33 33 33 
ENST00000508814 	ENST00000510210 ENST00000512493 	288 	235 245 	289 	235 245 	52 	53 53 
ENST00000536668 ENST00000381852 ENST00000576262 ENST00000572837 ENST00000571165 ENST00000572833 	ENST00000252444 	418 393 418 393 418 393 	4204 	418 393 418 393 418 393 	4204 	31 31 31 31 31 31 	52 
ENST00000314675 	ENST00000319041 	2099 	593 	2099 	593 	52 	52 
ENST00000314675 	ENST00000319041 	2116 	611 	2116 	611 	51 	52 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 ENST00000441206 	1094 1111 	118 156 13 	1094 1111 	118 156 13 	52 52 	53 53 53 
ENST00000560723 	ENST00000559556 	430 	857 	430 	857 	52 	46 
ENST00000570780 ENST00000391950 	ENST00000520547 	1151 1168 	253 	1151 1168 	253 	53 53 	51 
ENST00000492472 ENST00000467514 ENST00000318636 ENST00000360428 ENST00000434452 ENST00000328913 ENST00000473233 ENST00000338733 ENST00000446782 ENST00000424280 ENST00000309424 ENST00000592540 ENST00000536413 ENST00000297578 ENST00000523256 ENST00000521645 ENST00000302219 ENST00000328546 ENST00000370272 ENST00000366089 ENST00000296318 ENST00000475135 ENST00000581251 ENST00000596009 	ENST00000479162 ENST00000526353 ENST00000586331 ENST00000574474 ENST00000414802 ENST00000357578 ENST00000373242 ENST00000288699 ENST00000484882 ENST00000301215 ENST00000556831 ENST00000463436 ENST00000238831 ENST00000583972 ENST00000505031 ENST00000295628 ENST00000317449 ENST00000558383 ENST00000358689 ENST00000522255 ENST00000588278 ENST00000360803 ENST00000316738 ENST00000555872 ENST00000470730 ENST00000607738 ENST00000355754 ENST00000592624 ENST00000594204 ENST00000571346 ENST00000391750 ENST00000424807 ENST00000472824 ENST00000313146 ENST00000604207 ENST00000605232 ENST00000604311 ENST00000575959 ENST00000571923 ENST00000587996 ENST00000590939 ENST00000592538 ENST00000586069 ENST00000586303 ENST00000575296 ENST00000570726 ENST00000585529 ENST00000587221 ENST00000589439 ENST00000576704 ENST00000608143 ENST00000605489 ENST00000604151 	818 694 4386 4854 4971 4625 4400 2021 1768 2372 2501 1116 467 1693 1513 1617 1821 1949 5593 111 6185 1298 694 387 	2023 3650 1286 3641 1467 3647 5167 3509 3976 3373 487 248 8140 1763 159 4933 2093 6435 2290 854 2667 3361 2552 2651 2046 1903 4570 1152 456 666 2591 2565 2578 2703 2591 2565 1286 2591 2565 1286 1286 1286 1286 1286 2591 2565 1286 1286 1286 2565 2568 2610 2619 	818 694 4386 4854 4971 4625 4400 2021 1768 2372 2501 1116 467 1693 1513 1617 1821 1949 5593 111 6185 1298 694 387 	2023 3650 1286 3641 1467 3647 5167 3509 3976 3373 487 248 8140 1763 159 4933 2093 6435 2290 854 2667 3361 2552 2651 2046 1903 4570 1152 456 666 2591 2565 2578 2703 2591 2565 1286 2591 2565 1286 1286 1286 1286 1286 2591 2565 1286 1286 1286 2565 2568 2610 2619 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000481810 ENST00000465550 	ENST00000467228 ENST00000479162 ENST00000574474 ENST00000368614 ENST00000392638 ENST00000368610 ENST00000471668 ENST00000510979 ENST00000371199 ENST00000355640 ENST00000301215 ENST00000497417 ENST00000546715 ENST00000295628 ENST00000558383 ENST00000262126 ENST00000383440 ENST00000312675 ENST00000543006 ENST00000419810 ENST00000360803 ENST00000272252 ENST00000501515 ENST00000470730 ENST00000607738 ENST00000355754 ENST00000592624 ENST00000302692 ENST00000511335 ENST00000594204 ENST00000408959 ENST00000472824 ENST00000313146 ENST00000569097 ENST00000489074 ENST00000510256 	144 809 	2396 2008 3626 4415 4600 4124 1763 2899 5259 5266 3358 406 395 4918 6420 10287 10235 8514 8457 1765 3346 1892 321 2031 1888 4555 1137 2445 4455 441 1340 2563 2688 1595 545 545 	144 809 	2396 2008 3626 4415 4600 4124 1763 2899 5259 5266 3358 406 395 4918 6420 10287 10235 8514 8457 1765 3346 1892 321 2031 1888 4555 1137 2445 4455 441 1340 2563 2688 1595 545 545 	53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2083 1984 1738 	201 	2083 1984 1738 	201 	53 53 53 	51 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3485 	798 331 349 215 213 554 354 386 354 331 	3485 	798 331 349 215 213 554 354 386 354 331 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000582963 	ENST00000578373 	1904 	4263 	1904 	4263 	52 	53 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000430907 ENST00000394290 ENST00000450676 	3379 	781 332 165 198 196 337 337 369 337 	3379 	781 332 165 198 196 337 337 369 337 	53 	53 53 53 53 53 53 53 53 53 
ENST00000487099 ENST00000450981 ENST00000570752 ENST00000549649 ENST00000521261 ENST00000518345 ENST00000483921 ENST00000590534 ENST00000243326 	ENST00000524754 ENST00000527106 ENST00000286955 ENST00000318336 	4620 163 275 434 29 154 446 465 10473 	2336 1965 2749 2891 	4620 163 1263 434 29 154 446 465 10473 	2336 1965 2749 2891 	53 53 53 53 53 53 53 53 53 	52 52 52 52 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	349 	656 665 669 551 	359 	656 665 669 551 	42 	53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	389 	72 15 	389 	72 15 	53 	52 52 
ENST00000314675 	ENST00000319041 	2089 	613 	2089 	613 	53 	51 
ENST00000588623 ENST00000262374 ENST00000591822 ENST00000544428 ENST00000511660 ENST00000515046 ENST00000507643 ENST00000425059 ENST00000515248 ENST00000532875 ENST00000502317 ENST00000546233 ENST00000546127 ENST00000482043 	ENST00000467239 ENST00000486431 ENST00000485843 ENST00000531806 ENST00000529253 ENST00000528089 	2112 1376 1502 1193 400 386 739 893 708 384 720 409 184 724 	1274 1056 1362 1062 1224 1880 	2112 1376 1502 1193 400 386 739 893 708 384 720 409 184 724 	1274 1056 1362 1062 1224 1880 	47 47 47 47 47 47 47 47 47 47 47 47 47 47 	53 53 53 53 53 53 
ENST00000592379 	ENST00000582736 	30 	113 	30 	113 	53 	50 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1119 1136 	157 195 	1119 1136 	167 205 	34 34 	43 43 
ENST00000506437 	ENST00000368841 ENST00000458013 ENST00000368843 	478 	4740 4077 4854 	478 	4740 4077 4854 	53 	53 53 53 
ENST00000595956 	ENST00000437396 ENST00000481101 	74 	454 351 	74 	454 351 	53 	52 52 
ENST00000481238 ENST00000477639 	ENST00000417019 ENST00000449096 ENST00000430351 ENST00000418693 ENST00000420045 ENST00000439634 ENST00000415546 ENST00000428719 ENST00000450851 ENST00000494200 ENST00000477504 ENST00000547913 ENST00000548017 ENST00000551392 ENST00000376917 ENST00000376888 ENST00000376894 ENST00000431798 ENST00000376889 ENST00000376902 ENST00000533330 ENST00000447285 ENST00000419309 ENST00000441138 ENST00000419274 ENST00000442244 ENST00000433500 ENST00000438803 ENST00000457090 ENST00000417639 ENST00000483865 ENST00000470227 ENST00000549239 ENST00000553111 ENST00000547390 ENST00000452744 ENST00000429153 ENST00000411455 ENST00000450634 ENST00000453271 ENST00000459677 ENST00000400668 ENST00000434870 ENST00000431084 ENST00000495495 ENST00000497130 ENST00000383525 ENST00000439884 ENST00000383521 ENST00000400671 ENST00000444952 ENST00000400669 ENST00000412760 ENST00000448816 ENST00000421858 ENST00000479627 ENST00000494392 ENST00000549492 ENST00000550849 ENST00000552956 	1263 1465 	1825 2182 1266 1364 1247 1295 1545 1220 1409 1414 1664 1455 1726 1981 1843 1473 2182 1497 1664 1981 1731 1825 2182 1364 1295 1247 1266 1545 1220 1409 1664 1414 1455 1726 1981 1825 2182 1266 1364 1247 1295 1545 1220 1409 1414 1664 1762 2182 1266 1247 1364 1295 1545 1220 1409 1414 1664 1455 1726 1981 	1263 1465 	1834 2191 1275 1373 1256 1304 1554 1229 1418 1423 1673 1464 1735 1990 1852 1482 2191 1506 1673 1990 1740 1834 2191 1373 1304 1256 1275 1554 1229 1418 1673 1423 1464 1735 1990 1834 2191 1275 1373 1256 1304 1554 1229 1418 1423 1673 1771 2191 1275 1256 1373 1304 1554 1229 1418 1423 1673 1464 1735 1990 	41 41 	44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	89 87 229 	3759 	89 87 229 	52 	53 53 53 
ENST00000262866 	ENST00000558530 	2598 	832 	2598 	832 	53 	52 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1948 2080 2527 	280 	1948 2080 2527 	280 	53 53 53 	53 
ENST00000470139 ENST00000577226 ENST00000582436 ENST00000474097 ENST00000373133 	ENST00000512183 ENST00000338148 	3900 3082 5417 1224 818 	1131 1167 	3900 3082 5417 1224 818 	1131 1167 	31 31 31 31 31 	53 53 
ENST00000445503 ENST00000234420 ENST00000540021 ENST00000538136 	ENST00000512512 ENST00000295666 ENST00000514062 ENST00000537922 	3194 3364 2873 3099 	402 796 289 796 	3195 3365 2874 3100 	402 796 289 796 	52 52 52 52 	53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	157 116 	484 	157 116 	53 	52 52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2281 2182 1936 	239 	2281 2182 1936 	239 	53 53 53 	52 
ENST00000014914 	ENST00000430402 ENST00000498459 ENST00000418070 ENST00000489289 ENST00000327800 ENST00000476123 ENST00000400594 ENST00000469397 ENST00000451032 ENST00000469706 ENST00000440992 ENST00000493769 ENST00000412451 ENST00000481158 ENST00000428224 ENST00000472444 ENST00000426945 ENST00000460640 ENST00000412843 ENST00000468755 ENST00000259873 ENST00000472267 ENST00000472229 ENST00000506373 ENST00000454427 ENST00000464426 ENST00000437247 ENST00000477010 	4442 	1063 1141 783 940 1063 1141 783 940 1063 1141 783 940 1063 1141 783 940 1063 1141 783 940 1063 1141 940 858 1063 1141 783 940 	4447 	1063 1141 783 940 1063 1141 783 940 1063 1141 783 940 1063 1141 783 940 1063 1141 783 940 1063 1141 940 858 1063 1141 783 940 	32 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000462592 	ENST00000545243 	3050 	398 	3059 	398 	43 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3480 	790 323 341 174 207 205 546 346 378 346 323 	3480 	790 323 341 174 207 205 546 346 378 346 323 	53 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000510019 	482 	202 	482 	203 	53 	51 
ENST00000400815 ENST00000572705 ENST00000399759 ENST00000571088 ENST00000399756 ENST00000174621 ENST00000563731 	ENST00000357037 	3246 3317 3243 3256 3569 3326 3246 	2211 	3249 3320 3246 3259 3572 3329 3249 	2211 	50 50 50 50 50 50 50 	53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4128 	97 299 99 99 	4128 	97 299 99 99 	52 	52 52 52 52 
ENST00000576370 ENST00000299335 	ENST00000572158 	2240 2372 	1377 	2240 2372 	1377 	37 37 	52 
ENST00000487078 ENST00000360131 	ENST00000429985 	3102 3020 	383 	3116 3034 	383 	37 37 	52 
ENST00000424014 	ENST00000421670 	2421 	1349 	2421 	1349 	53 	53 
ENST00000476781 ENST00000259038 	ENST00000307750 	788 714 	2424 	788 714 	2424 	51 51 	53 
ENST00000361567 	ENST00000361681 	1575 	474 	1575 	484 	53 	41 
ENST00000428206 ENST00000575600 ENST00000602348 ENST00000602283 	ENST00000411631 ENST00000575410 	2136 2136 1638 1638 	2993 2993 	2136 2136 1638 1638 	2993 2993 	53 53 53 53 	53 53 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1122 1139 	212 250 	1122 1139 	212 250 	53 53 	53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3492 	829 362 385 380 386 387 385 362 	3492 	829 362 385 380 386 387 385 362 	53 	53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000225964 ENST00000476387 	393 	1874 104 	393 	1874 104 	53 	53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	287 	77 20 	287 	77 20 	53 	52 52 
ENST00000604922 	ENST00000487100 ENST00000382175 	328 	273 147 	328 	273 147 	53 	52 52 
ENST00000314675 	ENST00000319041 	2104 	529 	2104 	529 	50 	53 
ENST00000295851 	ENST00000591462 ENST00000592741 ENST00000587327 ENST00000589838 ENST00000589990 ENST00000252455 ENST00000412601 	19441 	841 699 919 546 57 882 882 	19441 	841 699 919 546 57 882 882 	50 	50 50 50 50 50 50 50 
ENST00000439011 	ENST00000444840 	487 	103 	487 	103 	52 	53 
ENST00000539903 ENST00000485920 	ENST00000468078 	2708 2703 	341 	2708 2703 	341 	49 49 	53 
ENST00000605395 ENST00000458685 	ENST00000462112 ENST00000322989 	80 280 	924 943 	80 280 	924 943 	31 31 	31 31 
ENST00000592379 	ENST00000582736 	32 	117 	32 	117 	53 	53 
ENST00000563480 ENST00000395589 	ENST00000519737 	415 415 	1054 	415 415 	1054 	53 53 	51 
ENST00000592379 	ENST00000437246 	54 	76 	54 	76 	53 	52 
ENST00000248098 	ENST00000259939 	3555 	3826 	3560 	3837 	36 	33 
ENST00000314675 	ENST00000319041 	2088 	553 	2088 	553 	38 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	365 	73 16 	365 	73 16 	53 	52 52 
ENST00000373493 	ENST00000392514 ENST00000551150 ENST00000552461 ENST00000549098 ENST00000551258 ENST00000546990 ENST00000547475 ENST00000547211 ENST00000547173 ENST00000550856 ENST00000548568 ENST00000546564 ENST00000228306 ENST00000394878 ENST00000413306 	3528 	699 838 2093 609 575 407 522 511 595 783 802 717 759 522 442 	3528 	699 838 2093 609 575 407 522 511 595 783 802 717 759 522 442 	53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000590045 	ENST00000405570 ENST00000396183 ENST00000349496 ENST00000453024 ENST00000396185 	1260 	1320 1449 1444 1570 1378 	1260 	1320 1449 1444 1570 1378 	53 	53 53 53 53 53 
ENST00000449131 	ENST00000498161 ENST00000492727 ENST00000450676 ENST00000599364 	4144 	56 75 77 56 	4144 	56 75 77 56 	53 	53 53 53 53 
ENST00000526743 	ENST00000528784 	1488 	833 	1492 	833 	49 	53 
ENST00000514253 	ENST00000510019 	444 	206 	444 	206 	53 	52 
ENST00000393658 	ENST00000299767 ENST00000548622 ENST00000540297 ENST00000548462 	403 	193 145 117 89 	409 	193 145 117 89 	41 	53 53 53 53 
ENST00000595015 	ENST00000411680 	106 	607 	106 	607 	52 	53 
ENST00000585161 ENST00000399442 ENST00000330062 	ENST00000290271 	1860 285 2360 	3283 	1860 285 2360 	3283 	52 52 52 	32 
ENST00000514253 	ENST00000510019 ENST00000511844 	481 	97 56 	481 	97 56 	53 	52 52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	97 95 237 	3744 	97 95 237 	53 	53 53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000503605 	261 	249 259 440 	261 	249 259 440 	53 	52 52 52 
ENST00000447359 ENST00000502609 ENST00000401754 ENST00000424045 ENST00000507432 ENST00000444451 ENST00000457191 ENST00000592994 ENST00000442987 ENST00000432723 ENST00000440782 ENST00000605013 	ENST00000609761 	2744 2745 262 2147 262 1849 2661 2703 2829 2411 2389 2675 	2662 	2744 2745 262 2147 262 1849 2661 2703 2829 2411 2389 2675 	2667 	45 45 45 45 45 45 45 45 45 45 45 45 	47 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2230 2131 1885 	223 	2230 2131 1885 	223 	53 53 53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2317 2218 1972 	241 	2317 2218 1972 	241 	52 52 52 	53 
ENST00000592379 	ENST00000582736 	40 	108 	40 	108 	53 	53 
ENST00000392690 	ENST00000466379 	3074 	2112 	3074 	2112 	53 	53 
ENST00000314675 	ENST00000319041 	2087 	473 	2087 	473 	53 	52 
ENST00000434583 	ENST00000459840 	1787 	662 	1787 	662 	52 	53 
ENST00000568653 	ENST00000556029 	1109 	3050 	1112 	3050 	41 	52 
ENST00000449131 	ENST00000517577 	3739 	241 	3740 	241 	52 	53 
ENST00000370380 ENST00000313598 	ENST00000353047 ENST00000434271 	279 1899 	2996 2980 	281 1901 	2996 2980 	36 36 	53 53 
ENST00000295269 ENST00000261200 ENST00000564458 ENST00000564795 	ENST00000392385 ENST00000551944 ENST00000409562 ENST00000604604 ENST00000392857 	4073 6848 1097 1097 	1098 3250 2869 1222 5442 	4088 6863 1112 1112 	1109 3261 2880 1233 5453 	38 38 38 38 	41 41 41 41 41 
ENST00000569680 	ENST00000366216 	1360 	694 	1381 	694 	32 	52 
ENST00000320934 	ENST00000529622 	4522 	130 	4522 	130 	53 	53 
ENST00000598975 	ENST00000434318 ENST00000488363 ENST00000480185 	413 	1054 324 290 	417 	1054 324 290 	49 	50 50 50 
ENST00000419932 	ENST00000302418 	242 	3684 	242 	3684 	50 	32 
ENST00000508814 	ENST00000510019 	307 	238 	307 	238 	53 	52 
ENST00000335185 	ENST00000531921 ENST00000525782 ENST00000323213 ENST00000524711 ENST00000525054 	3735 	1576 1270 773 1387 210 	3735 	1576 1270 773 1387 210 	53 	52 52 52 52 52 
ENST00000449131 	ENST00000492727 	4179 	80 	4179 	80 	53 	53 
ENST00000592379 	ENST00000475608 	54 	17 	54 	17 	53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3039 2940 2694 	290 	3039 2940 2694 	290 	53 53 53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	365 	86 29 	365 	86 29 	53 	51 51 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4145 	102 304 104 104 	4145 	102 304 104 104 	53 	53 53 53 53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4149 	96 298 98 98 	4149 	96 298 98 98 	52 	50 50 50 50 
ENST00000350777 	ENST00000261653 ENST00000392373 	3035 	1419 1473 	3035 	1419 1473 	51 	53 53 
ENST00000570630 ENST00000448504 	ENST00000590402 ENST00000591744 	3604 3604 	469 530 	3609 3609 	469 530 	48 48 	50 50 
ENST00000582963 	ENST00000578373 	1913 	4328 	1913 	4328 	52 	53 
ENST00000576370 ENST00000299335 	ENST00000572158 	2197 2329 	1346 	2197 2329 	1346 	53 53 	53 
ENST00000314675 	ENST00000319041 	2089 	590 	2089 	590 	53 	52 
ENST00000604922 	ENST00000487100 ENST00000382175 	283 	292 166 	283 	292 166 	53 	52 52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3043 2944 2698 	284 	3043 2944 2698 	284 	52 52 52 	37 
ENST00000340360 ENST00000321448 ENST00000531849 	ENST00000540180 ENST00000543504 ENST00000540344 ENST00000239830 ENST00000412006 ENST00000538160 ENST00000422000 	3885 3579 3989 	339 346 268 417 302 331 391 	3885 3579 3989 	339 346 268 417 302 331 391 	53 53 53 	53 53 53 53 53 53 53 
ENST00000263574 ENST00000278756 ENST00000543137 	ENST00000395474 ENST00000489684 ENST00000608424 ENST00000452875 ENST00000420783 ENST00000471162 ENST00000448293 	3390 3357 3357 	1435 720 1104 1314 1192 1094 1017 	3390 3357 3357 	1435 720 1104 1314 1192 1094 1017 	53 53 53 	53 53 53 53 53 53 53 
ENST00000366582 	ENST00000323938 	8348 	1704 	8348 	1704 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1149 1166 	229 180 	1149 1166 	229 180 	52 52 	52 52 
ENST00000437809 ENST00000473267 ENST00000368331 	ENST00000466815 ENST00000462250 	7422 1162 7351 	605 53 	7422 1162 7351 	605 53 	52 52 52 	53 53 
ENST00000514253 	ENST00000511844 	496 	137 	496 	137 	53 	52 
ENST00000592379 	ENST00000437246 	70 	75 	70 	75 	51 	53 
ENST00000595014 	ENST00000258886 	801 	4830 	801 	4844 	53 	39 
ENST00000508814 	ENST00000510019 	304 	247 	304 	247 	50 	52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3040 2941 2695 	310 	3040 2941 2695 	310 	53 53 53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000430907 ENST00000450676 ENST00000599364 	3372 	818 351 374 369 375 376 374 374 351 	3372 	818 351 374 369 375 376 374 374 351 	53 	53 53 53 53 53 53 53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	3005 2906 2660 	181 310 	3005 2906 2660 	181 310 	53 53 53 	53 53 
ENST00000265018 	ENST00000503945 	4068 	421 	4068 	421 	50 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	2275 2176 1930 	213 	2275 2176 1930 	213 	53 53 53 	53 
ENST00000461526 	ENST00000478970 	434 	613 	436 	613 	50 	33 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3481 	789 322 340 173 206 204 345 545 345 377 345 322 	3481 	789 322 340 173 206 204 345 545 345 377 345 322 	52 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	463 	171 130 	463 	171 130 	53 	53 53 
ENST00000361681 	ENST00000361567 	232 	1754 	233 	1754 	48 	52 
ENST00000554081 	ENST00000557324 	3130 	552 	3130 	552 	53 	52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	275 	1116 1133 	275 	53 53 	53 
ENST00000514253 	ENST00000511844 	494 	83 	495 	83 	52 	53 
ENST00000514253 	ENST00000511844 	494 	89 	494 	89 	53 	52 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1946 2078 2525 	334 	1946 2078 2525 	334 	53 53 53 	52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1117 1134 	291 	1117 1134 	291 	53 53 	53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1100 1117 	174 	1100 1117 	174 	53 53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3408 	821 354 377 372 378 379 377 354 	3408 	821 354 377 372 378 379 377 354 	53 	52 52 52 52 52 52 52 52 
ENST00000463943 	ENST00000335179 ENST00000545072 	381 	77 20 	381 	77 20 	53 	52 52 
ENST00000514253 	ENST00000511844 	495 	115 	495 	115 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1093 1110 	189 	1093 1110 	189 	31 31 	53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	349 	657 666 670 552 	359 	657 666 670 552 	42 	53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3470 	798 331 349 215 213 554 354 386 354 331 	3470 	798 331 349 215 213 554 354 386 354 331 	51 	53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3482 	813 346 369 364 370 371 569 369 401 369 346 	3482 	813 346 369 364 370 371 569 369 401 369 346 	52 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000481001 ENST00000438585 ENST00000441576 ENST00000460505 ENST00000341949 ENST00000498498 ENST00000498794 ENST00000440857 ENST00000313778 ENST00000472331 ENST00000467457 ENST00000395462 	ENST00000415265 	594 565 1615 1795 1648 1014 2899 1928 1882 988 1537 1593 	1812 	594 565 1615 1795 1648 1014 2899 1928 1882 988 1537 1593 	1812 	52 52 52 52 52 52 52 52 52 52 52 52 	53 
ENST00000366409 	ENST00000435781 ENST00000438571 ENST00000466776 	408 	508 702 300 	408 	508 702 300 	53 	53 53 53 
