ENST00000536784 ENST00000541505 ENST00000227880 ENST00000544101 ENST00000543406 	ENST00000540112 	396 1747 2055 493 4526 	1902 	396 1747 2055 493 4526 	1902 	53 53 53 53 53 	53 
ENST00000411432 	ENST00000395148 	1907 	3789 	1923 	3789 	36 	52 
ENST00000434583 	ENST00000459840 	1751 	548 	1751 	548 	52 	53 
ENST00000430252 ENST00000540275 	ENST00000599232 	434 434 	58 	434 434 	58 	51 51 	53 
ENST00000321521 ENST00000309733 ENST00000582452 ENST00000456523 ENST00000483793 ENST00000355520 ENST00000354232 ENST00000282074 ENST00000261200 ENST00000564458 ENST00000564795 	ENST00000229465 	7798 6338 319 5102 3538 7186 1349 1225 6781 1030 1030 	1185 	7798 6338 319 5102 3538 7186 1349 1225 6781 1030 1030 	1185 	53 53 53 53 53 53 53 53 53 53 53 	52 
ENST00000449131 	ENST00000297689 	3744 	385 	3744 	385 	53 	53 
ENST00000355524 ENST00000604959 ENST00000576568 ENST00000576265 	ENST00000494870 ENST00000267023 ENST00000380198 ENST00000341463 ENST00000395384 ENST00000564967 ENST00000505912 ENST00000480258 ENST00000607628 ENST00000314622 ENST00000359543 ENST00000292478 ENST00000608074 ENST00000610213 	1431 1431 1431 1431 	539 1180 1538 1184 1513 2073 661 4757 4774 2851 2513 5130 4654 4768 	1435 1435 1435 1435 	539 1180 1538 1184 1513 2073 661 4757 4774 2851 2513 5130 4654 4768 	31 31 31 31 	31 31 31 31 31 31 31 31 31 31 31 31 31 31 
ENST00000463943 	ENST00000507623 ENST00000380638 	405 	57 57 	405 	57 57 	53 	52 52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	2286 2187 1941 	196 325 	2289 2190 1944 	196 325 	50 50 50 	51 51 
ENST00000314675 	ENST00000319041 	2118 	540 	2118 	540 	53 	53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4130 	76 78 	4130 	76 78 	53 	53 53 
ENST00000261267 ENST00000297578 ENST00000523256 ENST00000521645 	ENST00000607772 	859 1678 1498 1602 	11624 	859 1678 1498 1602 	11635 	43 43 43 43 	42 
ENST00000601871 	ENST00000391976 ENST00000310931 ENST00000487169 ENST00000373292 ENST00000484412 ENST00000442730 ENST00000494862 ENST00000427183 	469 	3930 4012 3647 2750 337 229 68 3734 	472 	3930 4012 3647 2750 337 229 68 3734 	37 	53 53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	283 	1116 1133 	283 	53 53 	52 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	177 136 	484 	177 136 	53 	53 53 
ENST00000522663 ENST00000403396 	ENST00000389532 ENST00000312405 ENST00000483991 ENST00000409386 	1487 1487 	2552 2004 1549 2589 	1487 1487 	2552 2004 1549 2589 	52 52 	51 51 51 51 
ENST00000547303 ENST00000551116 	ENST00000537638 	819 1015 	3244 	819 1015 	3244 	52 52 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3484 	809 342 365 360 226 224 366 565 365 397 365 342 	3484 	809 342 365 360 226 224 366 565 365 397 365 342 	53 	52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000367483 ENST00000367485 ENST00000445192 ENST00000367486 ENST00000367484 	ENST00000467810 	4327 4171 4450 4327 3043 	507 	4327 4171 4450 4327 3043 	507 	53 53 53 53 53 	52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3758 	97 95 237 	3758 	97 95 237 	53 	53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2243 2144 1898 	231 	2248 2149 1903 	231 	48 48 48 	51 
ENST00000463943 	ENST00000335179 ENST00000545072 	349 	77 20 	349 	77 20 	51 	52 52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 	3744 	80 78 220 217 	3744 	80 78 220 217 	53 	53 53 53 53 
ENST00000594734 	ENST00000539061 ENST00000526284 	120 	2261 798 	120 	2271 808 	53 	40 40 
ENST00000514253 	ENST00000510019 ENST00000429775 	468 	235 60 	468 	235 60 	52 	53 53 
ENST00000234453 ENST00000562759 	ENST00000549216 ENST00000216294 ENST00000313956 	10480 340 	2069 2299 2076 	10483 343 	2078 2308 2085 	38 38 	32 32 32 
ENST00000514253 	ENST00000510019 ENST00000511844 	443 	76 35 	443 	76 35 	53 	50 50 
ENST00000330292 	ENST00000318066 ENST00000550657 ENST00000549833 ENST00000549490 ENST00000552442 	479 	862 1375 688 425 394 	479 	862 1375 688 425 394 	53 	52 52 52 52 52 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1116 1133 	306 257 	1116 1133 	306 257 	53 53 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	182 141 	484 	182 141 	53 	52 52 
ENST00000469540 ENST00000588603 ENST00000582596 	ENST00000492007 	871 700 871 	733 	892 721 892 	733 	32 32 32 	52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3005 2906 2660 	257 	3005 2906 2660 	257 	53 53 53 	52 
ENST00000326877 	ENST00000514176 	3336 	2774 	3336 	2774 	48 	52 
ENST00000514253 	ENST00000511844 	497 	145 	497 	145 	53 	51 
ENST00000430252 ENST00000540275 	ENST00000599232 	427 427 	57 	427 427 	57 	53 53 	52 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000510019 	280 	192 202 247 	280 	192 202 247 	53 	52 52 52 
ENST00000430252 ENST00000540275 	ENST00000599232 	435 435 	12 	435 435 	12 	53 53 	52 
ENST00000449131 	ENST00000498161 ENST00000492727 ENST00000450676 ENST00000599364 	4151 	55 74 76 55 	4151 	55 74 76 55 	50 	53 53 53 53 
ENST00000606570 ENST00000588278 ENST00000591390 	ENST00000275605 ENST00000395471 	821 2727 1550 	1702 1750 	827 2733 1556 	1702 1750 	46 46 46 	53 53 
ENST00000373289 ENST00000488285 	ENST00000373281 ENST00000463577 ENST00000472723 ENST00000458505 	2810 2571 	2365 2099 3386 2130 	2820 2581 	2365 2099 3386 2130 	42 42 	53 53 53 53 
ENST00000361681 	ENST00000356056 	192 	8667 	200 	8678 	39 	36 
ENST00000335185 	ENST00000525054 	3720 	485 	3720 	485 	51 	53 
ENST00000432306 	ENST00000352732 ENST00000565973 ENST00000562073 ENST00000355100 	1095 	985 1206 289 938 	1095 	985 1206 289 938 	34 	53 53 53 53 
ENST00000592379 	ENST00000582736 	12 	127 	12 	127 	53 	53 
ENST00000538789 	ENST00000472643 ENST00000526894 	1212 	768 661 	1212 	768 661 	53 	53 53 
ENST00000544838 	ENST00000552978 ENST00000550186 ENST00000546613 ENST00000548000 	1866 	597 1778 402 451 	1866 	597 1778 402 451 	53 	52 52 52 52 
ENST00000436391 	ENST00000448128 ENST00000497887 ENST00000416618 ENST00000355725 ENST00000491737 ENST00000245838 	509 	447 498 427 4694 4315 4692 	509 	447 498 427 4694 4315 4692 	53 	52 52 52 52 52 52 
ENST00000492999 	ENST00000424633 ENST00000454660 ENST00000477007 	278 	63 63 63 	278 	63 63 63 	53 	53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	368 	83 26 	368 	83 26 	53 	50 50 
ENST00000375400 ENST00000375398 	ENST00000356940 ENST00000490236 ENST00000535776 	6318 7593 	56 25 20 	6318 7593 	56 25 20 	53 53 	31 31 31 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3406 	811 344 367 362 228 226 368 367 399 367 344 	3406 	811 344 367 362 228 226 368 367 399 367 344 	53 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000606080 	ENST00000566753 	4738 	735 	4738 	735 	52 	52 
ENST00000472403 ENST00000588805 	ENST00000592333 	603 247 	334 	603 247 	334 	53 53 	53 
ENST00000361681 	ENST00000361567 ENST00000511037 	445 	1768 1768 	445 	1768 1768 	53 	44 44 
ENST00000427908 	ENST00000567272 ENST00000403549 	1170 	578 426 	1170 	595 443 	53 	36 36 
ENST00000463943 	ENST00000335179 ENST00000545072 	388 	79 22 	388 	79 22 	53 	51 51 
ENST00000508814 	ENST00000510210 ENST00000512493 	289 	235 245 	289 	235 245 	52 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	460 	149 108 	460 	149 108 	53 	53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 	289 	235 245 	289 	235 245 	52 	53 53 
ENST00000379558 ENST00000295269 ENST00000582452 ENST00000456523 ENST00000312675 ENST00000543006 ENST00000355520 ENST00000473559 ENST00000462714 ENST00000223073 ENST00000354232 ENST00000282074 ENST00000478687 ENST00000463222 ENST00000564458 ENST00000564795 	ENST00000392385 ENST00000551944 ENST00000409562 ENST00000604604 ENST00000600751 	6583 4056 369 5152 13142 13085 7236 1899 1528 15430 1399 1275 544 351 1080 1080 	1058 3210 2829 1182 2504 	6583 4056 369 5152 13142 13085 7236 1899 1528 15430 1399 1275 544 351 1080 1080 	1072 3224 2843 1196 2518 	33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 	39 39 39 39 39 
ENST00000361681 	ENST00000361567 	486 	1630 	486 	1630 	39 	52 
ENST00000584259 ENST00000383578 ENST00000319815 	ENST00000323250 	3623 1471 2087 	453 	3623 1471 2087 	453 	53 53 53 	53 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	304 235 	185 144 	304 235 	185 144 	50 50 	52 52 
ENST00000380738 ENST00000380733 	ENST00000380821 	3170 3197 	5588 	3170 3197 	5588 	52 52 	52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 	3744 	80 78 220 217 	3744 	80 78 220 217 	53 	53 53 53 53 
ENST00000600121 	ENST00000598823 ENST00000598397 	267 	437 461 	268 	437 461 	51 	53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1118 1135 	232 183 	1118 1135 	232 183 	53 53 	53 53 
ENST00000525504 	ENST00000308031 ENST00000591537 	71 	3474 3046 	88 	3474 3046 	36 	31 31 
ENST00000566692 ENST00000329099 	ENST00000249700 ENST00000490103 ENST00000424347 ENST00000295461 ENST00000375846 ENST00000340855 ENST00000357214 ENST00000569532 ENST00000381414 ENST00000542583 ENST00000219821 ENST00000396229 ENST00000292853 ENST00000509137 ENST00000595787 	2682 2682 	7875 4545 6903 4262 1761 3902 3233 2509 4493 4610 3425 4655 1632 1561 3902 	2682 2682 	7875 4545 6903 4262 1761 3902 3233 2509 4493 4610 3425 4655 1632 1561 3902 	53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000511844 	507 	70 	519 	70 	36 	53 
ENST00000467457 ENST00000484831 	ENST00000452875 	1437 1625 	3850 	1437 1625 	3850 	53 53 	51 
ENST00000312990 	ENST00000257910 ENST00000546993 ENST00000550791 	915 	1753 1957 2036 	915 	1753 1957 2036 	53 	52 52 52 
ENST00000514253 	ENST00000511844 	498 	68 	498 	68 	53 	53 
ENST00000309955 	ENST00000403396 ENST00000526284 	3682 	3295 940 	3682 	3295 940 	53 	53 53 
ENST00000379284 ENST00000379287 ENST00000417960 ENST00000366090 ENST00000426894 ENST00000366254 ENST00000602075 ENST00000577714 ENST00000343813 ENST00000296161 ENST00000494429 ENST00000374394 ENST00000589291 ENST00000375120 	ENST00000523706 ENST00000373191 	6016 6706 202 165 165 228 235 15 3613 3332 743 104 64 4931 	3674 13487 	6016 6706 202 165 165 228 235 15 3613 3332 743 104 64 4931 	3674 13487 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 	32 32 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4129 	105 307 107 107 	4129 	105 307 107 107 	51 	52 52 52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3481 	825 358 381 376 382 383 381 358 	3481 	825 358 381 376 382 383 381 358 	52 	53 53 53 53 53 53 53 53 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1946 2078 2525 	269 	1946 2078 2525 	269 	53 53 53 	53 
ENST00000430252 ENST00000540275 	ENST00000599232 	439 439 	33 	439 439 	33 	53 53 	52 
ENST00000505859 ENST00000513867 	ENST00000462499 ENST00000467227 ENST00000371102 ENST00000488546 ENST00000468895 ENST00000485673 ENST00000478585 ENST00000461152 ENST00000371095 ENST00000492907 ENST00000487862 ENST00000306090 	418 543 	329 193 2142 111 121 497 265 218 635 203 486 352 	418 543 	329 193 2142 111 121 497 265 218 635 203 486 352 	52 52 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000511844 	495 	142 	495 	142 	53 	51 
ENST00000526743 	ENST00000534706 	1851 	651 	1852 	651 	52 	53 
ENST00000449131 	ENST00000492727 	4177 	104 	4177 	104 	53 	53 
ENST00000409508 ENST00000328843 	ENST00000373934 	14008 14029 	1762 	14008 14029 	1762 	53 53 	52 
ENST00000368879 	ENST00000368875 ENST00000271657 	4516 	3918 3406 	4516 	3918 3406 	52 	53 53 
ENST00000558264 ENST00000414802 ENST00000221444 ENST00000376497 ENST00000594204 ENST00000391750 ENST00000424807 ENST00000305513 ENST00000481347 ENST00000604207 ENST00000605232 ENST00000575959 ENST00000571923 ENST00000575296 ENST00000570726 ENST00000576704 ENST00000608143 ENST00000605489 ENST00000604151 	ENST00000415930 	738 1474 3672 601 463 2598 2572 3029 1468 2598 2572 2598 2572 2598 2572 2572 2575 2617 2626 	3773 	738 1474 3672 601 463 2598 2572 3029 1468 2598 2572 2598 2572 2598 2572 2572 2575 2617 2626 	3773 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000357731 	ENST00000297625 	11702 	4249 	11704 	4249 	46 	53 
ENST00000514253 	ENST00000510019 ENST00000429775 	465 	211 36 	465 	211 36 	53 	53 53 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3492 	781 332 165 198 196 337 537 337 369 337 	3492 	781 332 165 198 196 337 537 337 369 337 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000419851 	ENST00000481437 ENST00000451562 ENST00000468812 ENST00000489459 ENST00000355968 ENST00000415933 ENST00000494484 ENST00000480603 ENST00000358455 ENST00000394336 ENST00000441480 ENST00000464473 ENST00000403264 ENST00000414949 ENST00000448870 ENST00000308739 ENST00000487348 ENST00000435399 ENST00000596021 ENST00000427643 ENST00000510729 ENST00000479662 	108 	175 175 175 331 241 173 1335 152 130 130 125 130 130 132 130 133 118 133 129 133 131 119 	108 	175 175 175 331 241 173 1335 152 130 130 125 130 130 132 130 133 118 133 129 133 131 119 	53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	3008 2909 2663 	229 	3008 2909 2663 	229 	53 53 53 	53 
ENST00000563183 ENST00000487489 	ENST00000265044 	52 52 	2975 	52 52 	2975 	52 52 	52 
ENST00000592379 	ENST00000582736 ENST00000475608 	12 	57 42 	12 	57 42 	53 	36 36 
ENST00000564436 ENST00000570037 ENST00000562111 	ENST00000565813 	493 813 766 	154 	493 813 766 	154 	51 51 51 	53 
ENST00000430238 ENST00000425177 ENST00000452949 ENST00000416324 ENST00000419996 ENST00000400157 ENST00000426401 ENST00000439902 ENST00000440956 ENST00000443975 ENST00000425856 ENST00000422771 ENST00000375918 ENST00000375920 	ENST00000436569 ENST00000433726 ENST00000425568 ENST00000444557 ENST00000418840 ENST00000421991 ENST00000415170 ENST00000446133 ENST00000451042 ENST00000424221 ENST00000438641 ENST00000448278 ENST00000437771 	46 46 46 45 46 45 46 45 46 45 46 45 46 45 	93 60 93 60 93 60 93 60 93 60 93 60 93 	46 46 46 45 46 45 46 45 46 45 46 45 46 45 	93 60 93 60 93 60 93 60 93 60 93 60 93 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000604922 	ENST00000328194 ENST00000529977 ENST00000530044 ENST00000528725 ENST00000527700 ENST00000533737 ENST00000531747 	181 	3818 1398 3515 193 3059 160 733 	182 	3818 1398 3515 193 3059 160 733 	52 	53 53 53 53 53 53 53 
ENST00000547992 	ENST00000546489 	1746 	705 	1746 	705 	52 	53 
ENST00000304771 	ENST00000493763 ENST00000397415 ENST00000424341 	569 	1497 1609 1105 	569 	1497 1609 1105 	53 	53 53 53 
ENST00000341509 ENST00000537670 ENST00000565875 	ENST00000565627 ENST00000567816 ENST00000569489 	1910 1604 1368 	1769 247 97 	1910 1604 1368 	1769 247 97 	53 53 53 	53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3043 2944 2698 	298 	3043 2944 2698 	298 	52 52 52 	51 
ENST00000478238 ENST00000266743 ENST00000478139 ENST00000392927 ENST00000392924 	ENST00000549872 ENST00000549128 	353 756 3378 810 758 	1227 1207 	353 756 3378 810 758 	1227 1207 	53 53 53 53 53 	52 52 
ENST00000508814 	ENST00000510210 ENST00000512493 	278 	221 231 	278 	221 231 	53 	53 53 
ENST00000293780 	ENST00000572330 	2367 	5232 	2367 	5232 	51 	53 
ENST00000418596 ENST00000286181 ENST00000373242 ENST00000373625 ENST00000409158 ENST00000234115 ENST00000409612 ENST00000409279 ENST00000403716 ENST00000357214 ENST00000589195 	ENST00000478757 	4382 4602 5198 6417 2102 1978 2035 2313 2078 3268 1181 	487 	4399 4619 5215 6434 2119 1995 2052 2330 2095 3285 1198 	497 	33 33 33 33 33 33 33 33 33 33 33 	41 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3053 2954 2708 	304 	3053 2954 2708 	304 	53 53 53 	52 
ENST00000511660 ENST00000515046 	ENST00000346333 ENST00000510443 ENST00000359244 ENST00000467239 ENST00000486431 ENST00000485843 	382 368 	1153 1233 1251 1041 823 1129 	382 368 	1153 1233 1251 1041 823 1129 	53 53 	53 53 53 53 53 53 
ENST00000565677 ENST00000219548 ENST00000564316 	ENST00000565258 	1496 1355 665 	396 	1496 1355 665 	396 	53 53 53 	53 
ENST00000470422 ENST00000377813 ENST00000360807 ENST00000377807 ENST00000246043 ENST00000455029 	ENST00000308696 ENST00000431051 ENST00000467792 	807 3775 2461 2526 3471 1669 	2526 2353 344 	807 3775 2461 2526 3471 1669 	2526 2353 344 	52 52 52 52 52 52 	53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2995 2896 2650 	243 	2995 2896 2650 	243 	53 53 53 	53 
ENST00000335185 	ENST00000526267 ENST00000525054 	3656 	472 513 	3658 	472 513 	50 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	471 	173 132 	471 	173 132 	53 	53 53 
ENST00000560810 	ENST00000539941 ENST00000268717 ENST00000578317 ENST00000471414 ENST00000486810 ENST00000577210 ENST00000417352 	963 	954 912 897 265 808 625 951 	977 	954 912 897 265 808 625 951 	39 	53 53 53 53 53 53 53 
ENST00000492999 ENST00000486695 ENST00000467671 	ENST00000424633 ENST00000454660 ENST00000432393 ENST00000599500 	73 73 73 	245 245 245 245 	73 73 73 	245 245 245 245 	53 53 53 	53 53 53 53 
ENST00000592379 	ENST00000582736 	41 	117 	41 	117 	53 	53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	351 	685 694 698 580 	359 	685 694 698 580 	44 	52 52 52 52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1109 1126 	293 	1109 1126 	293 	53 53 	52 
ENST00000449131 	ENST00000492727 	4177 	76 	4177 	76 	53 	53 
ENST00000302787 	ENST00000264515 ENST00000367164 ENST00000439461 ENST00000599581 	4558 	4178 4064 1897 1949 	4563 	4178 4064 1897 1949 	48 	53 53 53 53 
ENST00000314675 	ENST00000319041 	2121 	550 	2121 	550 	53 	53 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000528382 	1266 861 1269 	214 	1266 861 1269 	214 	53 53 53 	53 
ENST00000429412 ENST00000546113 ENST00000392385 ENST00000508075 ENST00000469632 ENST00000566753 ENST00000604604 	ENST00000483793 	2501 2501 722 696 803 1775 846 	4109 	2501 2501 722 696 803 1775 846 	4109 	51 51 51 51 51 51 51 	52 
ENST00000592379 	ENST00000479658 ENST00000598937 ENST00000475608 ENST00000498752 	54 	6 4 4 4 	54 	20 18 18 18 	35 	38 38 38 38 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3757 	101 99 241 	3757 	101 99 241 	53 	53 53 53 
ENST00000526743 	ENST00000534706 	1871 	651 	1871 	651 	53 	53 
ENST00000478631 ENST00000371513 	ENST00000571310 ENST00000532950 	1216 1043 	753 753 	1216 1043 	753 753 	53 53 	53 53 
ENST00000518341 ENST00000532572 ENST00000554597 ENST00000556696 	ENST00000268766 ENST00000599719 ENST00000601309 ENST00000490103 ENST00000354384 ENST00000379485 ENST00000493260 ENST00000512439 ENST00000410026 ENST00000578403 ENST00000580346 ENST00000578643 ENST00000500337 ENST00000354500 ENST00000483404 ENST00000298569 ENST00000393728 ENST00000393725 ENST00000422090 ENST00000352066 ENST00000413454 ENST00000424347 ENST00000295461 ENST00000505868 ENST00000375846 ENST00000534754 ENST00000326737 ENST00000343933 ENST00000375077 ENST00000315251 ENST00000450253 ENST00000395732 ENST00000476404 ENST00000478047 ENST00000483414 ENST00000528443 ENST00000271583 ENST00000606911 ENST00000435319 ENST00000295025 ENST00000394479 ENST00000573545 ENST00000573424 ENST00000439464 	184 3853 308 337 	3000 180 171 4556 75 2863 2697 4043 9977 1310 1031 2606 2711 4251 403 1634 887 1344 2552 2661 2313 6914 4273 4974 3298 691 1629 2603 2427 5124 7036 1429 183 523 1456 3042 2832 2769 2385 2490 2259 183 1456 3545 	184 3853 308 337 	3000 180 171 4556 75 2863 2697 4043 9977 1310 1031 2606 2711 4251 403 1634 887 1344 2552 2661 2313 6914 4273 4974 3298 691 1629 2603 2427 5124 7036 1429 183 523 1456 3042 2832 2769 2385 2490 2259 183 1456 3545 	53 53 53 53 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 
ENST00000601871 	ENST00000484412 ENST00000442730 ENST00000494862 	1472 	559 596 290 	1472 	559 596 290 	53 	53 53 53 
ENST00000316292 ENST00000491404 ENST00000309268 ENST00000490569 ENST00000331523 ENST00000495333 ENST00000488500 ENST00000356303 ENST00000455918 	ENST00000296121 	1250 15 877 291 503 291 291 457 639 	64 	1250 15 877 291 503 291 291 457 639 	64 	53 53 53 53 53 53 53 53 53 	53 
ENST00000460469 	ENST00000377093 ENST00000377083 	404 	5520 5680 	405 	5520 5680 	31 	52 52 
ENST00000361681 	ENST00000361567 ENST00000511037 	339 	1780 1780 	339 	1780 1780 	53 	32 32 
ENST00000449131 	ENST00000517577 ENST00000492727 	3743 	223 220 	3743 	223 220 	52 	52 52 
ENST00000592379 	ENST00000582736 	40 	95 	40 	95 	53 	52 
ENST00000471250 ENST00000478282 ENST00000459639 ENST00000464750 ENST00000475639 ENST00000380276 ENST00000291552 ENST00000486519 ENST00000398137 	ENST00000237500 ENST00000581193 ENST00000400175 ENST00000584539 	438 885 1086 377 4105 351 373 327 431 	967 1006 782 821 	438 885 1086 377 4105 351 373 327 431 	967 1006 782 821 	53 53 53 53 53 53 53 53 53 	53 53 53 53 
ENST00000526829 	ENST00000371335 	466 	2458 	466 	2458 	37 	53 
ENST00000575152 	ENST00000573872 	3598 	553 	3598 	553 	53 	53 
ENST00000361567 	ENST00000223095 ENST00000445463 	281 	345 291 	281 	345 291 	53 	50 50 
ENST00000463943 	ENST00000335179 ENST00000545072 	360 	74 17 	360 	74 17 	53 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	156 115 	484 	156 115 	53 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	463 	178 137 	463 	178 137 	53 	52 52 
ENST00000449131 	ENST00000498161 ENST00000599364 	4128 	41 41 	4128 	41 41 	52 	53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1152 1169 	185 136 	1152 1169 	185 136 	53 53 	53 53 
ENST00000520536 	ENST00000399977 	1966 	915 	1966 	915 	53 	53 
ENST00000584259 ENST00000383578 ENST00000319815 	ENST00000323250 	3625 1473 2089 	516 	3625 1473 2089 	516 	53 53 53 	53 
ENST00000603027 	ENST00000603309 	4299 	810 	4299 	810 	51 	53 
ENST00000417104 	ENST00000309311 	475 	1496 	475 	1496 	53 	53 
ENST00000549554 	ENST00000369162 ENST00000324696 	245 	3608 3465 	245 	3608 3465 	53 	52 52 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	306 237 	184 143 	306 237 	184 143 	53 53 	53 53 
ENST00000592379 	ENST00000475608 	56 	20 	56 	20 	53 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3492 	799 332 350 216 214 356 555 355 387 355 332 	3492 	799 332 350 216 214 356 555 355 387 355 332 	53 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000488208 	ENST00000441384 	10 	1472 	28 	1478 	35 	35 
ENST00000534030 	ENST00000530320 	423 	506 	423 	506 	51 	53 
ENST00000333083 	ENST00000446547 ENST00000473608 	1328 	1209 745 	1328 	1209 745 	53 	53 53 
ENST00000449131 	ENST00000517577 	3742 	237 	3742 	237 	53 	53 
ENST00000474963 ENST00000469539 	ENST00000485408 	310 458 	308 	311 459 	308 	39 39 	53 
ENST00000550977 ENST00000295025 	ENST00000558583 	1645 8385 	6099 	1647 8387 	6099 	49 49 	52 
ENST00000315249 ENST00000461307 ENST00000429452 ENST00000556462 ENST00000510979 ENST00000366333 ENST00000301215 ENST00000549591 ENST00000591490 ENST00000483477 ENST00000488821 ENST00000595376 ENST00000591390 ENST00000377837 ENST00000282841 ENST00000358966 ENST00000302692 ENST00000589138 ENST00000287594 ENST00000366457 ENST00000325233 ENST00000518695 ENST00000457871 ENST00000336418 ENST00000530819 ENST00000607041 	ENST00000319406 	4382 3614 5699 1830 2869 239 3328 635 3175 3035 739 2158 1446 949 1666 1518 2415 1798 3532 508 2030 3510 141 3732 911 239 	2130 	4402 3634 5719 1850 2889 259 3348 655 3195 3055 759 2178 1466 969 1686 1538 2435 1818 3552 528 2050 3530 161 3752 931 259 	2130 	33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	87 85 227 	3744 	87 85 227 	53 	53 53 53 
ENST00000521035 	ENST00000398558 ENST00000589157 	241 	1506 491 	241 	1506 491 	34 	52 52 
ENST00000465990 	ENST00000447698 	48 	514 	48 	514 	53 	48 
ENST00000327661 	ENST00000253024 ENST00000341753 ENST00000597136 ENST00000595028 	339 	1978 1728 564 399 	339 	1978 1728 564 399 	53 	53 53 53 53 
ENST00000345662 ENST00000315285 ENST00000594104 ENST00000591517 ENST00000525841 	ENST00000308580 	3608 3608 784 2470 298 	2870 	3608 3608 784 2470 298 	2870 	51 51 51 51 51 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	276 	1116 1133 	276 	53 53 	52 
