ENST00000574872 	ENST00000519266 ENST00000520221 	681 	194 34 	681 	194 34 	44 	53 53 
ENST00000506793 ENST00000281543 ENST00000511493 	ENST00000326282 ENST00000601837 	2685 2997 1073 	1405 168 	2685 2997 1073 	1413 176 	53 53 53 	33 33 
ENST00000514919 	ENST00000506216 	242 	1746 	242 	1746 	53 	36 
ENST00000260356 	ENST00000318789 	5730 	5026 	5730 	5030 	52 	44 
ENST00000498752 ENST00000439573 ENST00000399415 ENST00000579116 	ENST00000592379 	270 270 262 270 	7 	270 270 262 270 	7 	53 53 53 53 	51 
ENST00000508075 ENST00000557845 ENST00000295025 ENST00000552937 ENST00000549640 ENST00000549785 ENST00000551028 ENST00000550234 ENST00000547979 	ENST00000309733 ENST00000489060 ENST00000392857 ENST00000604015 	236 167 8016 317 317 317 317 317 317 	7502 2546 4470 300 	241 172 8021 322 322 322 322 322 322 	7516 2560 4484 314 	48 48 48 48 48 48 48 48 48 	38 38 38 38 
ENST00000262919 ENST00000446916 	ENST00000336798 	1669 1601 	6297 	1669 1601 	6298 	51 51 	31 
ENST00000229239 ENST00000396856 ENST00000396861 ENST00000474249 ENST00000466588 ENST00000396859 ENST00000466525 ENST00000396858 	ENST00000314675 	1426 848 911 941 968 839 1305 899 	2196 	1426 848 911 941 968 839 1305 899 	2196 	53 53 53 53 53 53 53 53 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	192 192 	407 	192 192 	407 	53 53 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	201 201 	419 	201 201 	419 	53 53 	51 
ENST00000484430 ENST00000398981 ENST00000389400 ENST00000411660 	ENST00000604922 	597 605 623 597 	250 	597 605 623 597 	250 	53 53 53 53 	53 
ENST00000586778 ENST00000589919 	ENST00000586622 	534 268 	199 	534 268 	199 	50 50 	52 
ENST00000416139 ENST00000475608 	ENST00000592379 	222 219 	33 	222 219 	33 	52 52 	53 
ENST00000352732 ENST00000355100 	ENST00000400000 ENST00000340541 ENST00000584796 ENST00000583879 ENST00000583475 ENST00000577539 	7697 7650 	783 858 500 482 451 2912 	7697 7650 	783 858 500 482 451 2912 	53 53 	52 52 52 52 52 52 
ENST00000507623 ENST00000380638 	ENST00000463943 	197 197 	417 	197 197 	417 	53 53 	51 
ENST00000465995 	ENST00000558583 	1444 	3795 	1444 	3808 	53 	37 
ENST00000397166 ENST00000520272 ENST00000517385 	ENST00000301071 ENST00000295766 	3650 3325 2909 	1669 1804 	3650 3325 2909 	1669 1804 	52 52 52 	53 53 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	100 98 240 	4192 	107 105 247 	4192 	46 46 46 	51 
ENST00000397166 ENST00000520272 ENST00000517385 	ENST00000301071 ENST00000295766 	3650 3325 2909 	1669 1804 	3650 3325 2909 	1669 1804 	52 52 52 	53 53 
ENST00000415912 ENST00000357071 ENST00000374893 ENST00000436918 ENST00000264205 	ENST00000463943 	1875 1876 1872 1847 1847 	277 	1875 1876 1872 1847 1847 	277 	53 53 53 53 53 	53 
ENST00000303469 ENST00000454472 	ENST00000472795 	67 104 	114 	67 104 	114 	53 53 	45 
ENST00000225724 ENST00000403396 ENST00000526284 	ENST00000523902 	2461 3380 1025 	446 	2461 3380 1025 	446 	51 51 51 	53 
ENST00000274938 	ENST00000366221 ENST00000450791 ENST00000204726 	5531 	958 7071 7446 	5538 	964 7077 7452 	34 	34 34 34 
ENST00000402297 	ENST00000586372 	1225 	2450 	1225 	2470 	53 	32 
ENST00000468844 ENST00000361575 ENST00000543629 ENST00000424573 ENST00000480211 ENST00000446011 ENST00000273411 ENST00000512505 	ENST00000409627 	1623 109 539 42 42 42 254 43 	137 	1623 109 539 42 42 42 254 43 	139 	53 53 53 53 53 53 53 53 	33 
ENST00000498161 ENST00000517577 ENST00000492727 ENST00000599364 	ENST00000449131 	359 383 384 359 	3752 	359 383 384 359 	3765 	53 53 53 53 	39 
ENST00000378621 ENST00000600106 	ENST00000565321 ENST00000569563 ENST00000377957 ENST00000574474 ENST00000465605 ENST00000472200 ENST00000471668 ENST00000311417 ENST00000432729 ENST00000301215 ENST00000473371 ENST00000493181 ENST00000333703 ENST00000483477 ENST00000300619 ENST00000495441 ENST00000293272 ENST00000366113 ENST00000265641 ENST00000584581 ENST00000497613 ENST00000409379 ENST00000556123 ENST00000409734 ENST00000504669 ENST00000501515 ENST00000492342 ENST00000400331 ENST00000560440 ENST00000422247 ENST00000491968 ENST00000461317 ENST00000391743 ENST00000572652 ENST00000527063 ENST00000491193 ENST00000367942 ENST00000603197 ENST00000605140 ENST00000574314 ENST00000576928 ENST00000426371 	8127 8127 	6475 4403 3671 3750 206 2738 1887 2791 2845 3481 1508 6399 4408 3190 3845 2509 817 696 4594 2466 6475 4403 3900 1066 2975 453 206 5024 2651 1993 206 206 2509 1420 1922 1310 2996 817 696 2509 2592 1012 	8127 8127 	6475 4403 3671 3750 206 2738 1887 2791 2845 3481 1508 6399 4408 3190 3845 2509 817 696 4594 2466 6475 4403 3900 1066 2975 453 206 5024 2651 1993 206 206 2509 1420 1922 1310 2996 817 696 2509 2592 1012 	53 53 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000396599 ENST00000461458 ENST00000477341 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000472300 ENST00000484462 ENST00000403916 ENST00000440049 ENST00000485147 ENST00000482905 ENST00000473808 ENST00000568122 	ENST00000515262 	118 308 143 100 40 28 28 29 28 51 28 51 28 28 51 28 28 28 28 28 	157 	118 308 143 100 40 28 28 29 28 51 28 51 28 28 51 28 28 28 28 28 	157 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	51 
ENST00000458142 ENST00000453700 	ENST00000546813 	2127 2594 	476 	2130 2597 	478 	35 35 	51 
ENST00000297107 ENST00000520647 ENST00000377661 ENST00000519544 	ENST00000380615 ENST00000218075 ENST00000443437 ENST00000483722 ENST00000523629 ENST00000396218 ENST00000265814 ENST00000423218 ENST00000315757 ENST00000440097 ENST00000559153 ENST00000559291 ENST00000358005 ENST00000416810 ENST00000418132 ENST00000264645 ENST00000394072 ENST00000254051 ENST00000407847 ENST00000563727 ENST00000514871 ENST00000370629 ENST00000370628 ENST00000342056 ENST00000370398 ENST00000355194 ENST00000374798 ENST00000487798 ENST00000352511 ENST00000561679 ENST00000568563 ENST00000569349 ENST00000561621 ENST00000290881 ENST00000341901 ENST00000392378 ENST00000358186 ENST00000392379 	1161 1287 931 416 	4197 2295 2264 2356 3044 2919 2673 4609 4597 455 573 587 835 655 56 51 1572 3465 7 1885 1985 1532 1435 5420 5074 5312 1456 1423 11410 2307 1460 2218 2983 3033 2325 2566 2441 2657 	1161 1287 931 416 	4197 2301 2270 2356 3046 2921 2675 4609 4597 455 573 587 835 655 56 51 1572 3465 7 1889 1989 1532 1435 5420 5074 5312 1456 1423 11410 2307 1460 2218 2983 3033 2325 2566 2441 2657 	48 48 48 48 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000484430 ENST00000398981 ENST00000389400 	ENST00000604922 	518 526 544 	248 	518 526 544 	248 	53 53 53 	52 
ENST00000429775 	ENST00000514253 	270 	459 	270 	459 	53 	53 
ENST00000370994 	ENST00000315762 ENST00000452444 	5128 	1491 324 	5128 	1505 338 	53 	36 36 
ENST00000597713 ENST00000575801 ENST00000336868 	ENST00000563963 	264 2071 2426 	2394 	264 2071 2426 	2394 	53 53 53 	42 
ENST00000323496 	ENST00000463943 	265 	388 	265 	388 	51 	52 
ENST00000432598 ENST00000430282 ENST00000383438 ENST00000426800 ENST00000436931 ENST00000441436 ENST00000375916 	ENST00000451932 ENST00000449173 ENST00000458287 ENST00000449450 ENST00000442698 ENST00000441994 ENST00000361076 ENST00000417419 ENST00000436807 ENST00000425649 ENST00000428271 ENST00000452627 ENST00000444402 ENST00000450513 ENST00000436434 ENST00000454478 ENST00000438842 ENST00000420942 ENST00000451898 ENST00000424480 ENST00000375964 	220 220 220 220 220 220 643 	166 179 198 166 179 198 166 179 198 166 179 198 166 179 198 166 179 198 179 198 231 	220 220 220 220 220 220 643 	166 179 198 166 179 198 166 179 198 166 179 198 166 179 198 166 179 198 179 198 231 	52 52 52 52 52 52 52 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000371873 ENST00000371871 ENST00000450808 	ENST00000243457 	912 823 648 	4399 	921 832 657 	4414 	43 43 43 	31 
ENST00000484430 ENST00000398981 ENST00000474167 	ENST00000604922 	670 678 662 	250 	670 678 662 	250 	53 53 53 	52 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	91 89 231 	4197 	91 89 231 	4197 	53 53 53 	53 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	158 348 183 140 80 68 68 68 91 68 91 68 91 68 68 77 	162 	158 348 183 140 80 68 68 68 91 68 91 68 91 68 68 77 	162 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	51 
ENST00000497322 ENST00000483598 ENST00000460355 ENST00000432629 ENST00000393148 ENST00000481802 ENST00000431098 ENST00000429825 ENST00000588627 ENST00000471280 ENST00000495231 	ENST00000450504 ENST00000486695 ENST00000426791 ENST00000467671 	1739 34 3192 152 178 154 153 153 1928 144 153 	399 325 399 325 	1739 34 3192 152 178 154 153 153 1928 144 153 	418 344 418 344 	52 52 52 52 52 52 52 52 52 52 52 	33 33 33 33 
ENST00000535381 	ENST00000546474 	3421 	7585 	3427 	7603 	38 	32 
ENST00000429775 	ENST00000514253 	270 	459 	270 	459 	53 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	187 187 	407 	187 187 	407 	53 53 	53 
ENST00000557795 ENST00000558415 ENST00000560878 ENST00000561088 	ENST00000382021 ENST00000303525 ENST00000295065 ENST00000489047 ENST00000550746 ENST00000410026 ENST00000422247 ENST00000301335 ENST00000367561 	115 105 123 489 	3145 3049 3575 3222 3799 9679 1941 6747 1870 	129 119 137 503 	3145 3049 3575 3222 3799 9679 1941 6747 1870 	38 38 38 38 	53 53 53 53 53 53 53 53 53 
ENST00000507623 ENST00000380638 	ENST00000463943 	205 205 	407 	205 205 	407 	52 52 	52 
ENST00000335574 ENST00000340852 ENST00000398174 ENST00000344042 ENST00000460225 ENST00000469126 ENST00000492709 ENST00000469097 ENST00000487964 ENST00000464661 ENST00000494153 ENST00000483310 ENST00000472128 ENST00000376127 	ENST00000295851 	819 819 819 600 331 283 461 249 583 797 363 243 179 662 	12403 	819 819 819 600 331 283 461 249 583 797 363 243 179 662 	12412 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 	40 
ENST00000425466 ENST00000487100 ENST00000382175 ENST00000484430 ENST00000398981 ENST00000493479 ENST00000389400 	ENST00000604922 	533 535 409 535 543 517 561 	248 	533 535 409 535 543 517 561 	248 	53 53 53 53 53 53 53 	52 
ENST00000520547 ENST00000441206 	ENST00000570780 ENST00000391950 	450 401 	1137 1154 	450 401 	1137 1154 	52 52 	53 53 
ENST00000429412 ENST00000546113 ENST00000392385 ENST00000508075 ENST00000469632 ENST00000409562 ENST00000493254 ENST00000566753 ENST00000604604 	ENST00000476192 ENST00000489060 ENST00000497426 ENST00000474698 	2494 2494 715 689 796 2486 1809 1768 839 	5134 2117 5134 5133 	2500 2500 721 695 802 2492 1815 1774 845 	5134 2117 5134 5133 	47 47 47 47 47 47 47 47 47 	53 53 53 53 
ENST00000380334 ENST00000380333 	ENST00000334569 	337 374 	530 	337 374 	546 	53 53 	33 
ENST00000460355 	ENST00000492999 ENST00000486695 ENST00000467671 	3488 	86 86 86 	3488 	86 86 86 	53 	53 53 53 
ENST00000532428 	ENST00000448838 	189 	114 	189 	114 	51 	53 
ENST00000357037 	ENST00000380739 ENST00000397622 	2590 	2310 2368 	2590 	2332 2390 	53 	31 31 
ENST00000574872 	ENST00000519266 ENST00000520221 	649 	181 21 	649 	181 21 	53 	53 53 
ENST00000302418 ENST00000493889 	ENST00000314100 ENST00000481247 	2741 152 	5032 5071 	2741 152 	5051 5090 	51 51 	31 31 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000485945 ENST00000480465 ENST00000395291 	ENST00000515262 	168 358 193 150 90 78 78 78 101 78 101 78 101 78 78 87 	154 	168 358 193 150 90 78 78 78 101 78 101 78 101 78 78 87 	154 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	197 197 	419 	197 197 	419 	53 53 	50 
ENST00000425466 ENST00000474167 ENST00000461022 ENST00000411660 	ENST00000604922 	611 605 635 613 	329 	611 605 635 613 	329 	53 53 53 53 	53 
ENST00000468666 ENST00000478186 	ENST00000445820 ENST00000428199 	193 185 	53 53 	193 185 	53 53 	53 53 	52 52 
ENST00000507623 ENST00000380638 	ENST00000463943 	194 194 	417 	194 194 	417 	53 53 	51 
ENST00000434913 	ENST00000449131 	239 	4137 	239 	4137 	52 	53 
ENST00000405808 	ENST00000234420 	108 	6547 	108 	6547 	53 	53 
ENST00000467951 ENST00000541436 	ENST00000546087 ENST00000535372 	374 392 	464 267 	374 392 	464 267 	53 53 	52 52 
ENST00000432629 ENST00000393148 ENST00000431782 ENST00000433385 	ENST00000492999 ENST00000486695 ENST00000467671 	196 222 193 198 	280 280 280 	197 223 194 199 	280 280 280 	52 52 52 52 	52 52 52 
ENST00000367537 ENST00000508461 ENST00000347615 ENST00000515829 	ENST00000494901 	3739 3684 3564 3401 	2342 	3739 3684 3564 3401 	2357 	53 53 53 53 	33 
ENST00000369187 ENST00000442702 ENST00000417839 ENST00000310701 ENST00000369219 ENST00000577412 ENST00000581897 ENST00000609741 	ENST00000419932 	2397 2975 2098 2678 2678 2975 2397 2678 	359 	2397 2975 2098 2678 2678 2975 2397 2678 	359 	53 53 53 53 53 53 53 53 	53 
ENST00000574872 	ENST00000519266 ENST00000520221 	721 	174 14 	721 	174 14 	53 	53 53 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	99 97 239 	4197 	99 97 239 	4197 	53 53 53 	53 
ENST00000498161 ENST00000435241 ENST00000425761 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 ENST00000599364 	ENST00000449131 	348 371 366 373 571 371 371 348 	4151 	348 371 366 373 571 371 371 348 	4151 	53 53 53 53 53 53 53 53 	52 
ENST00000497987 	ENST00000249344 	756 	4826 	773 	4826 	35 	39 
ENST00000434913 ENST00000517577 	ENST00000449131 	238 239 	4168 	238 239 	4168 	53 53 	53 
ENST00000574904 ENST00000280527 	ENST00000279873 	4649 4649 	4599 	4649 4649 	4599 	53 53 	33 
ENST00000498752 ENST00000439573 ENST00000399415 ENST00000579116 	ENST00000592379 	271 271 263 271 	43 	271 271 263 271 	43 	53 53 53 53 	53 
ENST00000498161 ENST00000435241 ENST00000517577 ENST00000492727 ENST00000599364 	ENST00000449131 	361 384 385 386 361 	3740 	361 384 385 386 361 	3740 	53 53 53 53 53 	53 
ENST00000434913 	ENST00000449131 	234 	4151 	234 	4151 	53 	52 
ENST00000574872 	ENST00000519266 ENST00000520221 	655 	192 32 	655 	192 32 	52 	53 53 
ENST00000339474 ENST00000400877 ENST00000334962 ENST00000584306 ENST00000579305 ENST00000319651 ENST00000412831 ENST00000581296 ENST00000570311 	ENST00000575698 ENST00000575960 ENST00000573185 	683 1417 800 3817 475 3689 114 3139 3138 	363 621 363 	683 1417 800 3817 475 3689 114 3139 3138 	363 621 363 	53 53 53 53 53 53 53 53 53 	52 52 52 
ENST00000453975 ENST00000487534 ENST00000460542 ENST00000470534 ENST00000479494 ENST00000476132 ENST00000453057 ENST00000455882 ENST00000471291 ENST00000413609 ENST00000478186 ENST00000547522 	ENST00000453518 ENST00000428199 	67 64 62 62 60 60 60 60 60 60 60 84 	467 467 	67 64 62 62 60 60 60 60 60 60 60 84 	467 467 	52 52 52 52 52 52 52 52 52 52 52 52 	53 53 
ENST00000428183 ENST00000323716 ENST00000441711 ENST00000454559 ENST00000425331 ENST00000541300 	ENST00000366935 ENST00000376040 	2065 2242 2137 1960 2065 1888 	3186 1535 	2065 2242 2137 1960 2065 1888 	3186 1535 	51 51 51 51 51 51 	53 53 
ENST00000430138 	ENST00000576779 ENST00000372977 ENST00000533140 ENST00000354301 	606 	2387 2428 2447 2394 	606 	2387 2428 2447 2394 	53 	53 53 53 53 
ENST00000457879 ENST00000438861 ENST00000468666 ENST00000453975 ENST00000487534 ENST00000460542 ENST00000470534 ENST00000547271 ENST00000479494 ENST00000476132 ENST00000453057 ENST00000455882 ENST00000471291 ENST00000413609 ENST00000478186 ENST00000547522 	ENST00000450479 	745 713 221 409 647 645 645 426 643 643 402 402 643 402 213 426 	67 	745 713 221 409 647 645 645 426 643 643 402 402 643 402 213 426 	83 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	31 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000485945 ENST00000480465 ENST00000395291 	ENST00000515262 	168 358 193 150 90 78 78 78 101 78 101 78 101 78 78 87 	157 	168 358 193 150 90 78 78 78 101 78 101 78 101 78 78 87 	157 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	51 
ENST00000507623 ENST00000380638 	ENST00000463943 	197 197 	408 	197 197 	408 	53 53 	53 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000396599 ENST00000461458 ENST00000477341 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000472300 ENST00000484462 ENST00000403916 ENST00000440049 ENST00000485147 ENST00000482905 ENST00000473808 ENST00000397467 ENST00000568122 	ENST00000515262 	120 310 145 102 42 30 30 31 30 53 30 53 30 30 53 30 30 30 30 30 30 	159 	120 310 145 102 42 30 30 31 30 53 30 53 30 30 53 30 30 30 30 30 30 	159 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	50 
ENST00000225964 ENST00000495677 	ENST00000514253 	767 375 	503 	767 375 	517 	52 52 	36 
ENST00000297268 ENST00000481570 ENST00000464916 	ENST00000473022 	3899 4209 476 	275 	3899 4209 476 	284 	53 53 53 	43 
ENST00000484430 ENST00000398981 ENST00000398259 ENST00000483907 ENST00000483613 ENST00000485355 ENST00000442655 	ENST00000604922 	518 526 514 516 516 516 516 	197 	520 528 516 518 518 518 518 	197 	51 51 51 51 51 51 51 	53 
ENST00000316292 ENST00000491404 ENST00000309268 ENST00000490569 ENST00000331523 ENST00000495333 ENST00000488500 ENST00000434005 ENST00000318052 ENST00000436459 ENST00000501580 ENST00000359165 ENST00000503537 ENST00000599509 	ENST00000420788 	1443 208 1070 484 696 592 484 451 451 451 446 465 454 451 	102 	1443 208 1070 484 696 592 484 451 451 451 446 465 454 451 	109 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 	32 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000485945 ENST00000480465 ENST00000395291 	ENST00000515262 	168 358 193 150 90 78 78 78 101 78 101 78 101 78 78 87 	154 	168 358 193 150 90 78 78 78 101 78 101 78 101 78 78 87 	154 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	53 
ENST00000520547 ENST00000441206 	ENST00000570780 ENST00000391950 	428 379 	1118 1135 	428 379 	1118 1135 	49 49 	53 53 
ENST00000261200 	ENST00000310613 ENST00000474698 ENST00000550534 ENST00000550321 	7135 	3229 5038 739 727 	7135 	3247 5056 757 745 	52 	35 35 35 35 
ENST00000574872 	ENST00000519266 ENST00000520221 	680 	177 17 	680 	177 17 	53 	52 52 
ENST00000507623 ENST00000380638 	ENST00000463943 	183 183 	399 	183 183 	399 	52 52 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	180 180 	399 	180 180 	399 	53 53 	53 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	98 96 238 	4192 	98 96 238 	4192 	53 53 53 	51 
ENST00000310301 	ENST00000323223 	5388 	1955 	5388 	1956 	53 	46 
ENST00000574872 	ENST00000519266 ENST00000520221 	719 	172 12 	719 	172 12 	53 	53 53 
ENST00000398295 	ENST00000461526 	458 	434 	458 	434 	45 	52 
ENST00000434913 ENST00000517577 	ENST00000449131 	232 233 	4179 	232 233 	4179 	53 53 	50 
ENST00000258341 	ENST00000279873 	5225 	4595 	5225 	4598 	53 	31 
ENST00000485655 	ENST00000339854 ENST00000542898 	1073 	316 949 	1093 	319 952 	33 	33 33 
ENST00000448163 ENST00000422863 ENST00000414549 ENST00000445944 	ENST00000539163 	166 166 166 166 	2256 	166 166 166 166 	2256 	37 37 37 37 	53 
ENST00000434913 ENST00000517577 	ENST00000449131 	238 239 	4179 	238 239 	4179 	53 53 	50 
ENST00000456820 	ENST00000480587 	752 	591 	752 	591 	53 	53 
ENST00000409601 ENST00000483867 	ENST00000451608 	691 913 	4841 	691 913 	4841 	52 52 	53 
ENST00000475608 	ENST00000592379 	227 	52 	228 	52 	51 	49 
ENST00000474167 	ENST00000604922 	668 	243 	668 	243 	53 	53 
ENST00000434913 	ENST00000449131 	244 	4154 	244 	4154 	47 	52 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	73 71 213 	4197 	73 71 213 	4197 	53 53 53 	52 
ENST00000381298 ENST00000503773 ENST00000502326 ENST00000381294 ENST00000336909 ENST00000381287 ENST00000536319 	ENST00000420788 	3004 2849 2887 2508 2727 2644 2425 	106 	3004 2849 2887 2508 2727 2644 2425 	106 	45 45 45 45 45 45 45 	35 
ENST00000425466 ENST00000484430 ENST00000398981 ENST00000493479 ENST00000389400 	ENST00000604922 	531 533 541 515 559 	255 	531 533 541 515 559 	255 	53 53 53 53 53 	53 
ENST00000468666 ENST00000478186 	ENST00000445820 ENST00000428199 	186 178 	67 67 	186 178 	67 67 	53 53 	53 53 
ENST00000536368 ENST00000432629 ENST00000393148 ENST00000314394 ENST00000432393 ENST00000599500 	ENST00000492999 ENST00000486695 ENST00000467671 	189 231 257 133 232 232 	285 285 285 	189 231 257 133 232 232 	285 285 285 	51 51 51 51 51 51 	52 52 52 
ENST00000434913 	ENST00000449131 	234 	4143 	234 	4143 	53 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	195 195 	402 	195 195 	402 	53 53 	53 
ENST00000389400 	ENST00000604922 	709 	211 	709 	211 	52 	53 
ENST00000497322 ENST00000536368 ENST00000432629 ENST00000393148 ENST00000314394 ENST00000432393 	ENST00000450504 ENST00000486695 ENST00000426791 ENST00000467671 	1840 211 253 279 155 254 	399 325 399 325 	1840 211 253 279 155 254 	418 344 418 344 	51 51 51 51 51 51 	34 34 34 34 
ENST00000484430 ENST00000398981 	ENST00000604922 	518 526 	278 	518 526 	278 	53 53 	53 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	100 98 240 	4188 	100 98 240 	4188 	51 51 51 	53 
ENST00000498161 ENST00000435241 ENST00000517577 ENST00000492727 ENST00000599364 	ENST00000449131 	357 380 381 382 357 	3763 	357 380 381 382 357 	3763 	53 53 53 53 53 	53 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	100 98 240 	4213 	100 98 240 	4213 	53 53 53 	53 
ENST00000308664 ENST00000377685 ENST00000539276 ENST00000548169 ENST00000395494 	ENST00000336257 	2330 2142 1765 1327 2138 	428 	2330 2142 1765 1327 2138 	428 	52 52 52 52 52 	32 
ENST00000269383 	ENST00000562915 	3177 	1042 	3177 	1045 	52 	33 
ENST00000498752 ENST00000439573 ENST00000399415 ENST00000579116 	ENST00000592379 	267 267 259 267 	75 	267 267 259 267 	75 	53 53 53 53 	53 
ENST00000498161 ENST00000517577 ENST00000492727 ENST00000599364 	ENST00000449131 	348 372 373 348 	3766 	348 372 373 348 	3766 	53 53 53 53 	52 
ENST00000465295 ENST00000401418 ENST00000327274 ENST00000484462 ENST00000403916 ENST00000485945 ENST00000480465 ENST00000395291 	ENST00000515262 	78 78 101 78 101 78 78 87 	128 	78 78 101 78 101 78 78 87 	128 	51 51 51 51 51 51 51 51 	53 
ENST00000524731 	ENST00000439473 ENST00000438364 ENST00000411491 ENST00000312132 ENST00000446373 	16 	1579 1435 1524 1872 1637 	24 	1591 1447 1536 1884 1649 	45 	36 36 36 36 36 
ENST00000355192 ENST00000308259 	ENST00000534019 	1539 1666 	33 	1539 1666 	54 	50 50 	32 
ENST00000425466 ENST00000398259 ENST00000493479 ENST00000389400 	ENST00000604922 	533 531 517 561 	227 	533 531 517 561 	227 	53 53 53 53 	52 
ENST00000482506 ENST00000395517 ENST00000418441 ENST00000493028 ENST00000454675 ENST00000484462 ENST00000403916 ENST00000453468 ENST00000463605 ENST00000485945 ENST00000488289 ENST00000480465 ENST00000395291 	ENST00000515262 	125 125 125 122 124 125 148 125 125 125 125 125 134 	116 	125 125 125 122 124 125 148 125 125 125 125 125 134 	116 	52 52 52 52 52 52 52 52 52 52 52 52 52 	53 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	73 71 213 	4192 	73 71 213 	4192 	53 53 53 	51 
ENST00000404933 ENST00000379404 ENST00000457085 ENST00000415881 ENST00000425270 ENST00000454078 	ENST00000374199 	747 446 769 491 494 495 	89 	747 446 769 491 494 495 	89 	53 53 53 53 53 53 	53 
ENST00000483956 	ENST00000585057 ENST00000472125 ENST00000464873 	372 	922 726 1942 	372 	922 726 1942 	53 	53 53 53 
ENST00000475663 	ENST00000468303 	12 	1067 	12 	1067 	53 	51 
ENST00000425466 ENST00000487100 ENST00000382175 ENST00000493479 	ENST00000604922 	533 535 409 517 	324 	533 535 409 517 	324 	53 53 53 53 	53 
ENST00000425848 ENST00000461583 ENST00000470915 ENST00000445222 ENST00000431930 ENST00000444289 ENST00000416096 ENST00000485166 ENST00000468995 ENST00000465498 ENST00000552193 ENST00000551578 ENST00000551120 ENST00000454091 ENST00000488889 ENST00000414592 ENST00000464713 ENST00000478258 ENST00000462986 ENST00000552493 ENST00000412585 ENST00000498007 ENST00000434333 ENST00000474381 ENST00000443552 ENST00000417978 ENST00000442939 ENST00000490454 ENST00000479675 ENST00000479969 ENST00000549869 ENST00000547112 ENST00000552498 ENST00000583265 ENST00000579721 	ENST00000445820 ENST00000428199 	303 218 237 374 554 525 221 218 216 216 238 260 260 557 525 221 218 216 216 221 245 237 374 91 554 525 221 218 216 216 238 260 260 300 216 	177 177 	303 218 237 374 554 525 221 218 216 216 238 260 260 557 525 221 218 216 216 221 245 237 374 91 554 525 221 218 216 216 238 260 260 300 216 	177 177 	39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 	53 53 
