ENST00000558583 ENST00000310613 	ENST00000334567 ENST00000586722 ENST00000458297 ENST00000550977 ENST00000522378 ENST00000397418 	6104 3202 	1023 1377 1295 1617 2226 2226 	6117 3215 	1023 1377 1295 1617 2226 2226 	40 40 	53 53 53 53 53 53 
ENST00000458073 ENST00000489527 	ENST00000470642 	1240 312 	499 	1240 312 	499 	53 53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	463 	91 50 	463 	91 50 	53 	52 52 
ENST00000466681 	ENST00000371817 	2133 	6774 	2133 	6783 	52 	44 
ENST00000514253 	ENST00000510019 ENST00000511844 	482 	129 88 	482 	129 88 	53 	52 52 
ENST00000449131 	ENST00000517577 	3741 	212 	3741 	212 	52 	52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3760 	73 71 213 	3760 	73 71 213 	52 	53 53 53 
ENST00000395148 	ENST00000435838 	3084 	394 	3084 	394 	53 	53 
ENST00000376131 	ENST00000367993 ENST00000483804 ENST00000465923 ENST00000493849 ENST00000468828 ENST00000492153 ENST00000392179 	3125 	1575 751 492 177 234 141 1366 	3125 	1575 751 492 177 234 141 1366 	34 	51 51 51 51 51 51 51 
ENST00000395684 ENST00000493690 ENST00000296318 ENST00000392869 ENST00000209875 	ENST00000481066 ENST00000447253 	64 31 6161 6955 6902 	380 274 	64 31 6161 6955 6902 	380 274 	51 51 51 51 51 	53 53 
ENST00000405508 ENST00000262709 	ENST00000305386 	3788 3615 	1480 	3788 3615 	1480 	52 52 	53 
ENST00000242351 	ENST00000598366 ENST00000601845 ENST00000593601 ENST00000595537 ENST00000594960 ENST00000599415 ENST00000601143 ENST00000597869 ENST00000331925 ENST00000573283 ENST00000575842 ENST00000576917 ENST00000574671 ENST00000576209 ENST00000575087 ENST00000576544 	4684 	1728 1753 2008 1713 1440 1466 1772 1496 1728 1753 2008 1713 1440 1466 1772 1496 	4684 	1728 1753 2008 1713 1440 1466 1772 1496 1728 1753 2008 1713 1440 1466 1772 1496 	34 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000347053 	ENST00000485846 	4256 	2321 	4256 	2321 	53 	53 
ENST00000508814 	ENST00000510210 ENST00000512493 	289 	248 258 	289 	248 258 	52 	53 53 
ENST00000514253 	ENST00000511844 	505 	68 	505 	68 	53 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	366 	81 24 	366 	81 24 	53 	52 52 
ENST00000589997 	ENST00000435926 ENST00000294066 ENST00000377350 ENST00000433890 ENST00000439069 ENST00000493428 	4099 	376 481 481 363 415 79 	4099 	376 481 481 363 415 79 	53 	53 53 53 53 53 53 
ENST00000274026 	ENST00000243498 ENST00000379663 ENST00000512454 ENST00000503236 	2283 	1297 1345 1357 529 	2283 	1297 1345 1357 529 	52 	51 51 51 51 
ENST00000592379 	ENST00000582736 	35 	91 	35 	91 	53 	52 
ENST00000361567 ENST00000511037 	ENST00000361681 ENST00000506002 	1764 1764 	414 414 	1764 1764 	414 414 	48 48 	53 53 
ENST00000595956 	ENST00000468120 ENST00000496289 	66 	426 408 	67 	426 408 	52 	52 52 
ENST00000514253 	ENST00000510019 	480 	187 	481 	187 	51 	53 
ENST00000493638 	ENST00000478079 ENST00000473063 ENST00000334877 	597 	452 213 4313 	597 	452 213 4313 	53 	34 34 34 
ENST00000502378 	ENST00000335351 	878 	1360 	878 	1360 	53 	53 
ENST00000514253 	ENST00000511844 	496 	132 	496 	132 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	485 	164 123 	485 	164 123 	52 	52 52 
ENST00000514253 	ENST00000510019 ENST00000511844 	460 	176 135 	460 	176 135 	53 	53 53 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	308 239 	137 96 	308 239 	137 96 	53 53 	53 53 
ENST00000321521 ENST00000309733 ENST00000582452 ENST00000456523 ENST00000483793 ENST00000355520 ENST00000558583 ENST00000354232 ENST00000282074 ENST00000261200 ENST00000564458 ENST00000564795 	ENST00000409562 	7798 6338 319 5102 3538 7186 5494 1349 1225 6781 1030 1030 	2893 	7798 6338 319 5102 3538 7186 5494 1349 1225 6781 1030 1030 	2893 	51 51 51 51 51 51 51 51 51 51 51 51 	53 
ENST00000534030 	ENST00000530320 	418 	512 	418 	512 	40 	52 
ENST00000492999 ENST00000486695 ENST00000467671 	ENST00000424633 ENST00000454660 ENST00000432393 	72 72 72 	262 262 262 	73 73 73 	262 262 262 	52 52 52 	53 53 53 
ENST00000463943 	ENST00000507623 ENST00000380638 	407 	67 67 	407 	67 67 	53 	51 51 
ENST00000449131 	ENST00000517577 	3741 	241 	3741 	241 	52 	53 
ENST00000449131 	ENST00000517577 	3741 	241 	3741 	241 	52 	53 
ENST00000430252 ENST00000540275 	ENST00000599232 	425 425 	68 	425 425 	68 	53 53 	53 
ENST00000458008 ENST00000427587 ENST00000585436 ENST00000467239 ENST00000486431 ENST00000485843 ENST00000313946 	ENST00000529482 ENST00000533775 ENST00000450217 ENST00000515248 ENST00000533887 ENST00000532875 	1716 1838 1514 1361 1143 1449 2109 	1971 861 511 553 558 229 	1716 1838 1514 1361 1143 1449 2109 	1971 861 511 553 558 229 	53 53 53 53 53 53 53 	53 53 53 53 53 53 
ENST00000260649 	ENST00000420756 	2831 	126 	2831 	126 	52 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	2992 2893 2647 	181 310 	2992 2893 2647 	183 312 	50 50 50 	51 51 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	101 60 	484 	101 60 	53 	53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3477 	828 361 384 379 385 386 384 361 	3477 	828 361 384 379 385 386 384 361 	53 	53 53 53 53 53 53 53 53 
ENST00000418458 ENST00000394799 ENST00000496254 	ENST00000478968 	1945 1946 2056 	1792 	1945 1946 2056 	1792 	52 52 52 	34 
ENST00000449131 	ENST00000434913 ENST00000492727 	4179 	113 111 	4179 	113 111 	53 	53 53 
ENST00000320934 	ENST00000525531 ENST00000529622 	4435 	775 364 	4435 	775 364 	53 	52 52 
ENST00000562824 ENST00000563088 	ENST00000564370 	928 995 	819 	928 995 	819 	52 52 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	465 	122 81 	465 	122 81 	53 	52 52 
ENST00000244336 ENST00000377424 	ENST00000245414 ENST00000309955 ENST00000600820 ENST00000597695 ENST00000595607 ENST00000315849 ENST00000522936 ENST00000517381 ENST00000264968 ENST00000393487 ENST00000301335 	1550 2515 	2720 5996 3371 1792 2133 1863 68 68 3276 3226 6667 	1550 2515 	2721 5997 3372 1793 2134 1864 69 69 3277 3227 6668 	48 48 	37 37 37 37 37 37 37 37 37 37 37 
ENST00000487465 ENST00000297534 	ENST00000222482 ENST00000445470 	1682 1097 	1767 1687 	1682 1097 	1767 1687 	52 52 	53 53 
ENST00000452722 	ENST00000341657 ENST00000570535 ENST00000574367 	5061 	4813 5020 4795 	5062 	4813 5020 4795 	36 	52 52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3495 	828 361 384 379 385 386 384 361 	3496 	828 361 384 379 385 386 384 361 	52 	53 53 53 53 53 53 53 53 
ENST00000592379 	ENST00000582736 	40 	109 	40 	109 	53 	32 
ENST00000361567 	ENST00000361681 	1760 	397 	1760 	397 	52 	53 
ENST00000478740 ENST00000464610 ENST00000456012 ENST00000470780 ENST00000492759 ENST00000450342 ENST00000473059 ENST00000481018 ENST00000462184 ENST00000550728 ENST00000496081 ENST00000463148 ENST00000484494 	ENST00000603274 	118 118 453 421 118 117 114 112 112 165 118 118 118 	118 	118 118 453 421 118 117 114 112 112 165 118 118 118 	129 	53 53 53 53 53 53 53 53 53 53 53 53 53 	42 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000503605 	262 	242 252 433 	262 	242 252 433 	52 	53 53 53 
ENST00000514253 	ENST00000511844 	495 	109 	495 	109 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	472 	183 142 	472 	183 142 	52 	51 51 
ENST00000592379 	ENST00000475608 	56 	23 	56 	23 	53 	50 
ENST00000361681 	ENST00000361567 	483 	1687 	483 	1687 	42 	52 
ENST00000471668 ENST00000234115 ENST00000403716 	ENST00000339656 	1947 2114 2214 	5821 	1947 2114 2214 	5821 	52 52 52 	53 
ENST00000603027 ENST00000603706 	ENST00000487278 	4842 510 	419 	4842 510 	419 	53 53 	53 
ENST00000592379 	ENST00000475608 	82 	13 	83 	13 	52 	52 
ENST00000592379 	ENST00000582736 	46 	125 	46 	125 	53 	53 
ENST00000592379 	ENST00000437246 	64 	83 	64 	83 	53 	53 
ENST00000392830 ENST00000240050 	ENST00000331483 ENST00000575069 ENST00000415593 ENST00000439918 ENST00000478034 ENST00000576380 ENST00000477607 ENST00000472244 ENST00000570907 	1582 1609 	1062 914 135 796 525 728 911 722 250 	1582 1609 	1062 914 135 796 525 728 911 722 250 	53 53 	52 52 52 52 52 52 52 52 52 
ENST00000320934 	ENST00000392951 ENST00000525531 ENST00000529622 	4396 	704 840 429 	4398 	704 840 429 	51 	53 53 53 
ENST00000510126 ENST00000334528 ENST00000600466 ENST00000409734 	ENST00000587309 	194 6634 2733 995 	3502 	194 6634 2733 995 	3502 	53 53 53 53 	52 
ENST00000510126 ENST00000334528 ENST00000600466 ENST00000409734 	ENST00000587309 	194 6634 2733 995 	3502 	194 6634 2733 995 	3502 	53 53 53 53 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3469 	829 362 385 380 386 387 385 362 	3469 	829 362 385 380 386 387 385 362 	50 	53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000517577 	3742 	247 	3742 	247 	53 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	351 	81 24 	353 	81 24 	51 	52 52 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3494 	781 332 165 198 196 337 537 337 369 337 	3494 	781 332 165 198 196 337 537 337 369 337 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	363 	77 20 	364 	77 20 	52 	52 52 
ENST00000449131 	ENST00000265563 ENST00000454963 ENST00000296446 ENST00000437821 	3416 	715 673 697 131 	3416 	715 673 697 131 	52 	53 53 53 53 
ENST00000606788 ENST00000372484 ENST00000354880 ENST00000191018 ENST00000484855 	ENST00000420868 	3002 2095 1766 1844 2129 	1340 	3004 2097 1768 1846 2131 	1340 	50 50 50 50 50 	52 
ENST00000350119 ENST00000564233 ENST00000564357 	ENST00000304516 ENST00000567705 	1849 3534 1167 	1221 752 	1849 3534 1167 	1221 752 	49 49 49 	53 53 
ENST00000480824 ENST00000404977 ENST00000515665 ENST00000496783 ENST00000493260 ENST00000493763 ENST00000304734 ENST00000465517 ENST00000519675 ENST00000369291 ENST00000520029 	ENST00000318636 ENST00000496188 ENST00000454127 ENST00000380336 ENST00000380334 ENST00000380333 ENST00000380331 ENST00000435806 	4191 4656 62 1455 2657 3782 3046 765 3593 6892 130 	645 83 563 285 275 312 387 383 	4191 4656 62 1455 2657 3782 3046 765 3593 6892 130 	645 83 563 285 275 312 387 383 	33 33 33 33 33 33 33 33 33 33 33 	46 46 46 46 46 46 46 46 
ENST00000381661 	ENST00000246229 	2928 	2188 	2928 	2188 	53 	52 
ENST00000428428 ENST00000574994 	ENST00000280346 ENST00000533297 ENST00000393051 ENST00000574572 ENST00000572204 ENST00000571622 	108 108 	1217 496 591 1217 496 591 	108 108 	1217 496 591 1217 496 591 	36 36 	53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3477 	825 358 381 376 382 383 381 358 	3477 	825 358 381 376 382 383 381 358 	53 	53 53 53 53 53 53 53 53 
ENST00000522663 ENST00000403396 	ENST00000503431 ENST00000284440 ENST00000381760 ENST00000512419 ENST00000505232 ENST00000504818 ENST00000508768 ENST00000512788 ENST00000472501 ENST00000514764 	1500 1500 	280 362 769 283 263 485 255 250 742 52 	1500 1500 	280 362 769 283 263 485 255 250 742 52 	52 52 	53 53 53 53 53 53 53 53 53 53 
ENST00000366582 	ENST00000323938 	8393 	1722 	8393 	1722 	52 	51 
ENST00000489175 	ENST00000229239 ENST00000396856 ENST00000396861 ENST00000474249 ENST00000466588 ENST00000396859 ENST00000466525 ENST00000396858 	1615 	1449 871 934 964 991 862 1328 922 	1635 	1449 871 934 964 991 862 1328 922 	33 	52 52 52 52 52 52 52 52 
ENST00000514253 	ENST00000511844 	495 	44 	495 	44 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	443 	159 118 	443 	159 118 	53 	53 53 
ENST00000174618 	ENST00000269593 ENST00000542955 	4439 	1113 748 	4439 	1113 748 	35 	51 51 
ENST00000553471 	ENST00000435803 ENST00000411975 ENST00000544596 ENST00000357066 ENST00000431683 ENST00000486034 ENST00000498012 ENST00000455971 ENST00000467068 	3696 	16308 3603 3603 2332 2074 2789 2067 1049 3353 	3696 	16308 3603 3603 2332 2074 2789 2067 1049 3353 	34 	39 39 39 39 39 39 39 39 39 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3493 	809 342 365 360 226 224 366 565 365 397 365 342 	3493 	809 342 365 360 226 224 366 565 365 397 365 342 	53 	52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3747 	97 95 237 	3747 	97 95 237 	53 	53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3747 	97 95 237 	3747 	97 95 237 	53 	53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3017 2918 2672 	325 	3017 2918 2672 	325 	53 53 53 	51 
ENST00000361681 	ENST00000361567 ENST00000511037 	469 	1763 1763 	469 	1763 1763 	53 	49 49 
ENST00000592379 	ENST00000475608 	153 	7 	153 	7 	53 	51 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1116 1133 	169 207 	1116 1133 	169 207 	53 53 	51 51 
ENST00000592379 	ENST00000475608 	153 	7 	153 	7 	53 	51 
ENST00000595927 	ENST00000476855 	96 	1178 	96 	1178 	53 	52 
ENST00000599823 	ENST00000521655 	85 	328 	85 	328 	52 	50 
ENST00000558583 	ENST00000409562 ENST00000493254 ENST00000502413 ENST00000550977 	6097 	2292 1615 842 1535 	6097 	2296 1619 846 1539 	53 	49 49 49 49 
ENST00000477853 	ENST00000565417 	6341 	1954 	6353 	1954 	33 	33 
ENST00000513356 	ENST00000399275 ENST00000350148 ENST00000379826 	690 	3913 3971 4116 	708 	3913 3971 4116 	33 	53 53 53 
ENST00000366559 ENST00000366557 	ENST00000462265 ENST00000478849 	4212 3839 	544 705 	4212 3839 	544 705 	52 52 	53 53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4159 	94 96 	4159 	94 96 	52 	52 52 
ENST00000254691 	ENST00000474449 	3607 	95 	3622 	98 	31 	35 
ENST00000393658 	ENST00000295550 ENST00000472056 ENST00000409809 ENST00000347401 ENST00000353578 ENST00000346358 	403 	5816 3768 4745 5045 5030 5048 	409 	5816 3768 4745 5045 5030 5048 	41 	53 53 53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	86 84 226 	3759 	86 84 226 	52 	52 52 52 
ENST00000601871 	ENST00000484412 ENST00000442730 ENST00000494862 	1477 	551 588 282 	1477 	551 588 282 	51 	52 52 52 
ENST00000381661 	ENST00000369144 ENST00000541549 	1906 	533 496 	1906 	533 496 	53 	53 53 
ENST00000400000 ENST00000340541 ENST00000583879 ENST00000583475 	ENST00000352732 ENST00000355100 	968 1043 667 636 	7085 7038 	969 1044 668 637 	7085 7038 	38 38 38 38 	53 53 
ENST00000569640 ENST00000569475 ENST00000391366 ENST00000396834 ENST00000550406 ENST00000393860 ENST00000557830 	ENST00000238831 ENST00000389677 	127 102 1413 194 127 167 411 	9803 10259 	127 102 1413 194 127 167 411 	9803 10259 	53 53 53 53 53 53 53 	50 50 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	103 101 243 	3744 	103 101 243 	53 	52 52 52 
ENST00000592379 	ENST00000475608 	140 	17 	140 	17 	51 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1134 1151 	207 158 	1134 1151 	207 158 	52 52 	51 51 
ENST00000560723 	ENST00000559556 	427 	913 	427 	913 	52 	44 
ENST00000285116 ENST00000489786 ENST00000571751 ENST00000464196 	ENST00000439822 ENST00000438882 	1607 4370 1607 717 	1186 1176 	1607 4370 1607 717 	1197 1187 	52 52 52 52 	40 40 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	107 105 247 	3744 	107 105 247 	53 	53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3373 	822 355 378 373 379 380 378 355 	3373 	822 355 378 373 379 380 378 355 	53 	52 52 52 52 52 52 52 52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1119 1136 	259 	1119 1136 	259 	53 53 	52 
ENST00000263620 	ENST00000260356 	2836 	5456 	2839 	5456 	36 	53 
ENST00000592379 	ENST00000582736 ENST00000437246 	43 	98 83 	43 	98 83 	53 	53 53 
ENST00000476192 ENST00000497426 	ENST00000429412 ENST00000546113 ENST00000392385 ENST00000508075 ENST00000409562 ENST00000550703 ENST00000546643 ENST00000478122 ENST00000566753 ENST00000481617 ENST00000506754 	4869 4869 	2472 2472 693 667 2464 1086 868 1048 1746 3937 1393 	4869 4869 	2472 2472 693 667 2464 1086 868 1048 1746 3937 1393 	33 33 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000370132 	ENST00000563944 ENST00000563638 	3103 	175 175 	3121 	175 175 	31 	53 53 
ENST00000508814 ENST00000514253 	ENST00000510019 	306 237 	229 	306 237 	229 	53 53 	53 
ENST00000366582 	ENST00000323938 	8377 	1753 	8377 	1753 	52 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3470 	829 362 385 380 386 387 385 362 	3470 	829 362 385 380 386 387 385 362 	51 	53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000510019 	461 	192 	461 	192 	53 	53 
ENST00000335185 	ENST00000526267 ENST00000525054 	3653 	488 529 	3660 	488 529 	44 	35 35 
ENST00000585896 	ENST00000375592 	1430 	119 	1434 	119 	36 	52 
ENST00000370323 	ENST00000373842 	2108 	1460 	2113 	1464 	31 	32 
ENST00000586748 ENST00000253031 ENST00000592646 ENST00000589971 	ENST00000586221 	1374 1328 776 770 	2734 	1374 1328 776 770 	2734 	53 53 53 53 	32 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000430907 ENST00000394290 ENST00000450676 	3416 	782 333 166 199 197 338 338 370 338 	3416 	782 333 166 199 197 338 338 370 338 	52 	53 53 53 53 53 53 53 53 53 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000529576 ENST00000524397 ENST00000534380 ENST00000528382 	1187 782 1190 	195 823 891 243 	1187 782 1190 	195 823 891 243 	53 53 53 	53 53 53 53 
ENST00000430252 ENST00000540275 	ENST00000599232 	427 427 	18 	427 427 	18 	53 53 	53 
ENST00000449131 	ENST00000498161 ENST00000450676 ENST00000599364 	4164 	42 63 42 	4164 	42 63 42 	51 	53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3482 	826 359 382 377 383 384 382 359 	3482 	826 359 382 377 383 384 382 359 	52 	53 53 53 53 53 53 53 53 
ENST00000529983 ENST00000548729 ENST00000265641 ENST00000468198 ENST00000312675 ENST00000543006 ENST00000400331 ENST00000440282 ENST00000608999 ENST00000336894 ENST00000391959 ENST00000367270 	ENST00000547575 	3555 3592 4563 2044 8615 8558 4993 2649 5296 5293 3648 3829 	2094 	3555 3592 4563 2044 8615 8558 4993 2649 5296 5293 3648 3829 	2109 	53 53 53 53 53 53 53 53 53 53 53 53 	31 
ENST00000514253 	ENST00000510019 ENST00000511844 	470 	127 86 	471 	127 86 	51 	53 53 
ENST00000262866 	ENST00000558530 	2598 	832 	2598 	832 	53 	52 
ENST00000602059 ENST00000594998 	ENST00000359898 ENST00000429726 	83 323 	720 996 	83 323 	735 1011 	52 52 	38 38 
ENST00000562514 ENST00000561679 ENST00000568563 ENST00000569349 ENST00000561621 ENST00000290881 	ENST00000568503 	431 2745 1898 2656 3421 3471 	1392 	431 2745 1898 2656 3421 3471 	1392 	50 50 50 50 50 50 	36 
ENST00000309955 ENST00000599809 ENST00000601706 ENST00000553258 ENST00000569239 ENST00000442514 ENST00000398726 ENST00000548061 ENST00000544076 ENST00000439516 ENST00000550092 ENST00000549907 ENST00000546454 ENST00000546486 	ENST00000295240 ENST00000392663 ENST00000472667 	3822 61 67 154 1429 154 100 154 1523 61 61 61 61 61 	3229 2861 2624 	3822 61 67 154 1429 154 100 154 1523 61 61 61 61 61 	3248 2880 2643 	37 37 37 37 37 37 37 37 37 37 37 37 37 37 	33 33 33 
ENST00000449131 	ENST00000498161 ENST00000599364 	4159 	41 41 	4159 	41 41 	52 	53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3450 	825 358 381 376 382 383 381 358 	3450 	825 358 381 376 382 383 381 358 	53 	53 53 53 53 53 53 53 53 
ENST00000555414 ENST00000216714 ENST00000553681 ENST00000557344 ENST00000553555 ENST00000398030 ENST00000557181 ENST00000555839 ENST00000556054 	ENST00000220849 ENST00000519030 ENST00000521614 ENST00000522445 ENST00000521440 ENST00000518442 ENST00000518100 ENST00000522887 ENST00000518345 	254 306 146 270 458 209 281 262 288 	307 125 876 283 240 344 493 404 430 	254 306 146 270 458 209 281 262 288 	307 125 876 283 240 344 493 404 430 	52 52 52 52 52 52 52 52 52 	52 52 52 52 52 52 52 52 52 
ENST00000569248 ENST00000565813 	ENST00000570037 ENST00000562111 	1757 206 	791 744 	1757 206 	791 744 	53 53 	52 52 
ENST00000449131 	ENST00000361368 ENST00000361125 	3743 	2595 2754 	3743 	2595 2754 	52 	53 53 
ENST00000332539 	ENST00000535217 	2781 	1070 	2781 	1070 	52 	32 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3746 	213 95 93 235 213 	3746 	213 95 93 235 213 	53 	51 51 51 51 51 
ENST00000527158 	ENST00000299767 ENST00000548462 ENST00000552051 	1479 	2091 2264 138 	1479 	2091 2264 138 	52 	53 53 53 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 ENST00000511844 	283 214 	144 154 199 158 	283 214 	144 154 199 158 	53 53 	35 35 35 35 
ENST00000514253 	ENST00000511844 	498 	44 	498 	44 	53 	53 
ENST00000604604 ENST00000261200 ENST00000600751 	ENST00000558583 ENST00000489060 ENST00000518152 	1190 7369 2512 	5706 1594 347 	1190 7369 2512 	5706 1594 347 	53 53 53 	53 53 53 
ENST00000487099 ENST00000507958 ENST00000492472 ENST00000318636 ENST00000595464 ENST00000328913 ENST00000473233 ENST00000338733 ENST00000446782 ENST00000424280 ENST00000494307 ENST00000302219 ENST00000328546 	ENST00000453168 ENST00000423527 ENST00000436236 	4487 554 829 4397 1902 4636 4411 2032 1779 2383 232 1832 1960 	1611 1387 775 	4487 554 829 4397 1902 4636 4411 2032 1779 2383 232 1832 1960 	1619 1395 783 	53 53 53 53 53 53 53 53 53 53 53 53 53 	45 45 45 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	301 232 	108 67 	301 232 	108 67 	53 53 	51 51 
ENST00000370380 ENST00000313598 	ENST00000353047 ENST00000434271 	279 1899 	2955 2939 	281 1901 	2955 2939 	36 36 	51 51 
ENST00000514253 	ENST00000510019 ENST00000511844 	481 	118 77 	481 	118 77 	53 	53 53 
ENST00000320934 	ENST00000529792 ENST00000529622 	4567 	323 72 	4568 	323 72 	52 	51 51 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	152 111 	484 	152 111 	53 	53 53 
ENST00000400335 ENST00000400338 ENST00000374212 	ENST00000297814 ENST00000413982 ENST00000334204 	2333 2384 1379 	2 2 2 	2338 2389 1384 	2 2 2 	32 32 32 	53 53 53 
ENST00000370380 ENST00000313598 	ENST00000353047 ENST00000434271 	281 1901 	3024 3008 	281 1901 	3024 3008 	36 36 	52 52 
ENST00000299767 ENST00000548462 ENST00000552051 ENST00000550595 	ENST00000552564 ENST00000293379 	2437 2610 484 307 	2358 2809 	2437 2610 484 307 	2358 2809 	52 52 52 52 	53 53 
ENST00000314675 	ENST00000319041 	2119 	641 	2119 	644 	52 	49 
ENST00000595851 	ENST00000596341 ENST00000594468 ENST00000594369 ENST00000335841 	1760 	2690 637 851 587 	1760 	2690 637 851 587 	53 	53 53 53 53 
ENST00000419932 	ENST00000216190 ENST00000405442 ENST00000455547 ENST00000457241 ENST00000432675 ENST00000402116 	202 	635 380 451 472 383 474 	220 	635 380 451 472 383 474 	35 	53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1118 1135 	293 	1118 1135 	293 	53 53 	52 
ENST00000565677 ENST00000569248 ENST00000564316 ENST00000565813 	ENST00000564436 ENST00000570037 ENST00000562111 	1372 1694 541 143 	413 733 686 	1372 1694 541 143 	413 733 686 	53 53 53 53 	53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000358344 ENST00000506339 ENST00000355836 ENST00000514633 ENST00000515193 ENST00000506259 ENST00000504898 	2286 2187 1941 	390 364 358 356 353 423 400 	2286 2187 1941 	390 364 358 356 353 423 400 	53 53 53 	53 53 53 53 53 53 53 
ENST00000361567 	ENST00000361681 	1644 	450 	1644 	450 	53 	53 
ENST00000343348 ENST00000257414 ENST00000513137 ENST00000515129 ENST00000282394 	ENST00000503424 	4249 3761 3529 2005 2005 	795 	4256 3768 3536 2012 2012 	795 	45 45 45 45 45 	47 
ENST00000419932 	ENST00000223095 ENST00000445463 	242 	1286 1232 	242 	1286 1232 	50 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	464 	91 50 	464 	91 50 	53 	52 52 
ENST00000361681 	ENST00000361567 	469 	1687 	478 	1687 	39 	52 
ENST00000427908 	ENST00000436998 ENST00000425312 ENST00000567272 ENST00000403549 	1822 	267 267 419 267 	1822 	267 267 419 267 	51 	53 53 53 53 
ENST00000449131 	ENST00000357681 ENST00000341360 ENST00000484746 ENST00000367218 ENST00000367219 ENST00000391954 	3550 	5025 4477 755 4964 4928 4856 	3550 	5025 4477 755 4964 4928 4856 	52 	52 52 52 52 52 52 
ENST00000430252 ENST00000540275 	ENST00000599232 	432 432 	50 	432 432 	50 	53 53 	53 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	301 232 	176 135 	304 235 	176 135 	50 50 	53 53 
