ENST00000409508 ENST00000328843 	ENST00000373934 	14046 14067 	1756 	14046 14067 	1756 	48 48 	52 
ENST00000430252 ENST00000540275 	ENST00000599232 	434 434 	35 	434 434 	35 	51 51 	53 
ENST00000361681 	ENST00000361567 	448 	1744 	448 	1744 	52 	52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3080 2981 2735 	285 	3080 2981 2735 	285 	49 49 49 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1152 1169 	227 178 	1152 1169 	227 178 	53 53 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	463 	77 36 	463 	77 36 	53 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	482 	172 131 	482 	172 131 	53 	53 53 
ENST00000508814 	ENST00000510019 	307 	249 	307 	249 	53 	50 
ENST00000361681 	ENST00000361567 	368 	1729 	368 	1729 	53 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3481 	803 336 354 220 218 360 559 359 391 359 336 	3481 	803 336 354 220 218 360 559 359 391 359 336 	52 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000429775 	461 	210 35 	462 	210 35 	52 	53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3054 2955 2709 	306 	3054 2955 2709 	306 	53 53 53 	53 
ENST00000514253 	ENST00000510019 	468 	191 	468 	191 	52 	53 
ENST00000369014 	ENST00000566288 	1875 	3185 	1875 	3185 	35 	32 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3490 	825 358 381 376 382 383 381 358 	3490 	825 358 381 376 382 383 381 358 	53 	53 53 53 53 53 53 53 53 
ENST00000554081 	ENST00000464954 ENST00000359523 ENST00000448405 ENST00000392121 ENST00000465787 ENST00000474859 ENST00000474729 ENST00000367853 	3114 	318 318 284 279 275 116 550 38 	3114 	318 318 284 279 275 116 550 38 	52 	52 52 52 52 52 52 52 52 
ENST00000342066 ENST00000341065 	ENST00000450578 	2298 1938 	434 	2298 1938 	434 	53 53 	31 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000450676 	4162 	113 111 113 	4162 	113 111 113 	52 	53 53 53 
ENST00000392385 ENST00000295025 ENST00000600751 	ENST00000538183 ENST00000321521 ENST00000312675 ENST00000543006 ENST00000476192 ENST00000355520 ENST00000558583 ENST00000497426 ENST00000310613 ENST00000474698 	1072 8822 2518 	7068 7956 13250 13193 4557 7344 5652 4557 2748 4556 	1072 8822 2518 	7068 7956 13250 13193 4557 7344 5652 4557 2748 4556 	52 52 52 	35 35 35 35 35 35 35 35 35 35 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	100 98 240 	3744 	100 98 240 	53 	53 53 53 
ENST00000592379 	ENST00000582736 	38 	55 	38 	55 	53 	53 
ENST00000418543 ENST00000546754 ENST00000548381 ENST00000553179 	ENST00000597961 	241 239 227 211 	11 	241 239 227 211 	11 	52 52 52 52 	53 
ENST00000471784 ENST00000344774 	ENST00000333628 ENST00000259818 ENST00000473006 ENST00000556922 ENST00000554444 ENST00000315491 ENST00000555609 ENST00000304984 ENST00000264071 ENST00000540257 	1666 1071 	1250 1379 1304 2322 1525 1310 1483 3266 1559 1268 	1666 1071 	1250 1379 1304 2322 1525 1310 1483 3266 1559 1268 	53 53 	52 52 52 52 52 52 52 52 52 52 
ENST00000609713 	ENST00000398738 ENST00000543600 ENST00000536991 	11636 	1693 1684 193 	11636 	1693 1684 193 	52 	53 53 53 
ENST00000248104 ENST00000389221 ENST00000403703 ENST00000391893 	ENST00000527168 	4159 4955 3998 3602 	1197 	4159 4955 3998 3602 	1197 	53 53 53 53 	52 
ENST00000514253 	ENST00000511844 	505 	118 	505 	118 	53 	53 
ENST00000526743 	ENST00000534706 	1852 	658 	1853 	658 	52 	52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000396787 ENST00000378495 ENST00000378496 	2230 2131 1885 	3321 3225 3183 	2230 2131 1885 	3321 3225 3183 	53 53 53 	53 53 53 
ENST00000449131 	ENST00000299240 ENST00000039989 ENST00000534347 	3747 	103 94 81 	3747 	103 94 81 	53 	52 52 52 
ENST00000574388 ENST00000573083 	ENST00000355703 	590 299 	6940 	600 309 	6940 	33 33 	53 
ENST00000537364 	ENST00000353047 ENST00000434271 	359 	3123 3107 	359 	3123 3107 	51 	39 39 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	97 95 237 	3744 	97 95 237 	53 	53 53 53 
ENST00000484909 ENST00000494927 	ENST00000431632 	1085 738 	704 	1085 738 	704 	53 53 	50 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3476 	782 333 166 199 197 338 538 338 370 338 	3476 	782 333 166 199 197 338 538 338 370 338 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000361681 	ENST00000361567 	180 	1655 	180 	1655 	52 	53 
ENST00000409380 	ENST00000260648 ENST00000409272 	2360 	3531 2889 	2360 	3531 2889 	52 	52 52 
ENST00000592379 	ENST00000475608 	56 	27 	56 	27 	53 	53 
ENST00000361681 	ENST00000361567 ENST00000511037 	486 	1768 1768 	486 	1768 1768 	39 	44 44 
ENST00000309733 	ENST00000610020 	8235 	6978 	8235 	6978 	53 	42 
ENST00000314675 	ENST00000319041 	2088 	545 	2088 	545 	53 	52 
ENST00000562514 ENST00000561679 ENST00000568563 ENST00000569349 ENST00000561621 ENST00000290881 	ENST00000568503 ENST00000268605 	383 2697 1850 2608 3373 3423 	1398 1229 	383 2697 1850 2608 3373 3423 	1398 1229 	53 53 53 53 53 53 	53 53 
ENST00000361681 	ENST00000361567 	191 	1666 	191 	1666 	53 	45 
ENST00000245414 	ENST00000301981 	2229 	2432 	2244 	2432 	37 	35 
ENST00000427358 ENST00000366221 ENST00000376753 ENST00000589889 ENST00000458605 	ENST00000460376 	887 850 1299 393 2144 	1830 	887 850 1299 393 2144 	1830 	53 53 53 53 53 	53 
ENST00000392385 ENST00000508075 ENST00000409562 ENST00000549369 ENST00000531169 ENST00000502413 ENST00000586722 ENST00000458297 ENST00000566753 ENST00000481617 ENST00000295025 	ENST00000538183 	489 463 2260 514 2437 810 1263 1181 1542 3733 8243 	7674 	489 463 2260 514 2437 810 1263 1181 1542 3733 8243 	7674 	45 45 45 45 45 45 45 45 45 45 45 	52 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000585891 	1945 1540 1948 	15 	1945 1540 1948 	15 	52 52 52 	53 
ENST00000261783 	ENST00000553619 	1742 	504 	1742 	504 	53 	53 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1947 2079 2526 	64 	1947 2079 2526 	64 	52 52 52 	53 
ENST00000508814 ENST00000514253 	ENST00000510019 	306 237 	218 	306 237 	218 	53 53 	53 
ENST00000409190 	ENST00000492348 ENST00000544435 	3301 	1450 1450 	3301 	1450 1450 	53 	33 33 
ENST00000514253 	ENST00000510019 ENST00000511844 	483 	176 135 	483 	176 135 	53 	53 53 
ENST00000592379 	ENST00000582736 	38 	59 	38 	59 	53 	53 
ENST00000478113 ENST00000395465 	ENST00000563996 	3509 4101 	1044 	3509 4101 	1048 	52 52 	48 
ENST00000604202 	ENST00000361464 ENST00000439817 	1505 	3611 3499 	1506 	3611 3499 	42 	53 53 
ENST00000427908 	ENST00000431591 ENST00000397651 	1170 	506 698 	1170 	506 698 	53 	53 53 
ENST00000392385 ENST00000508075 ENST00000409562 ENST00000604604 ENST00000261200 ENST00000295025 	ENST00000223095 ENST00000445463 	907 881 2678 1031 7210 8657 	2264 2210 	910 884 2681 1034 7213 8660 	2264 2210 	49 49 49 49 49 49 	53 53 
ENST00000514253 	ENST00000511844 	494 	78 	495 	78 	52 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1154 1171 	214 165 	1154 1171 	214 165 	52 52 	53 53 
ENST00000592521 	ENST00000359579 	646 	13 	659 	20 	40 	32 
ENST00000592379 	ENST00000582736 	30 	111 	30 	111 	53 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3471 	798 331 349 215 213 554 354 386 354 331 	3471 	798 331 349 215 213 554 354 386 354 331 	50 	53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000498161 ENST00000450676 ENST00000599364 	4152 	42 63 42 	4152 	42 63 42 	49 	53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	487 	178 137 	487 	178 137 	50 	52 52 
ENST00000549524 	ENST00000269593 	1809 	1523 	1809 	1523 	52 	53 
ENST00000594552 	ENST00000589528 	982 	288 	982 	288 	52 	53 
ENST00000450504 ENST00000486695 ENST00000426791 ENST00000467671 	ENST00000361436 ENST00000497825 ENST00000497322 	409 335 409 335 	17 17 17 	417 343 417 343 	17 17 17 	45 45 45 45 	53 53 53 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1944 2076 2523 	288 	1944 2076 2523 	288 	53 53 53 	53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4159 	76 78 	4159 	76 78 	52 	53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3369 	791 324 342 175 208 206 347 379 347 324 	3372 	791 324 342 175 208 206 347 379 347 324 	50 	52 52 52 52 52 52 52 52 52 52 
ENST00000321694 	ENST00000473038 	280 	95 	285 	95 	31 	53 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3470 	779 330 163 196 194 335 535 335 367 335 	3470 	779 330 163 196 194 335 535 335 367 335 	51 	53 53 53 53 53 53 53 53 53 53 
ENST00000525130 ENST00000529634 ENST00000528094 ENST00000533418 ENST00000525370 ENST00000313777 ENST00000377092 	ENST00000597774 	1407 564 1369 1414 1376 1572 1552 	2083 	1407 564 1369 1414 1376 1572 1552 	2083 	52 52 52 52 52 52 52 	53 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3759 	213 95 93 235 213 	3760 	213 95 93 235 213 	51 	51 51 51 51 51 
ENST00000243045 	ENST00000546837 ENST00000546813 ENST00000552719 ENST00000317287 	1969 	886 308 351 2437 	1969 	886 308 351 2437 	51 	53 53 53 53 
ENST00000559989 	ENST00000557956 ENST00000558470 	3095 	456 326 	3095 	456 326 	52 	52 52 
ENST00000361681 ENST00000506002 	ENST00000361567 	426 426 	1720 	426 426 	1720 	53 53 	53 
ENST00000592379 	ENST00000582736 ENST00000475608 	40 	49 34 	40 	49 34 	53 	53 53 
ENST00000245539 ENST00000584678 	ENST00000580571 	1350 636 	816 	1351 637 	816 	52 52 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	402 	70 13 	402 	70 13 	53 	53 53 
ENST00000527671 ENST00000413843 	ENST00000540772 	167 166 	196 	167 166 	196 	53 53 	51 
ENST00000361681 	ENST00000361567 	392 	1658 	392 	1658 	53 	52 
ENST00000526743 	ENST00000527394 ENST00000526711 	1047 	1373 775 	1047 	1373 775 	51 	52 52 
ENST00000319637 	ENST00000514888 ENST00000399688 ENST00000264221 	1407 	2584 2541 2576 	1407 	2584 2541 2576 	52 	53 53 53 
ENST00000361681 	ENST00000361567 	472 	1526 	472 	1526 	53 	53 
ENST00000309955 	ENST00000481916 ENST00000580938 ENST00000295240 ENST00000392663 ENST00000472667 ENST00000403396 	3997 	1862 1862 3067 2699 2462 3038 	3997 	1872 1872 3077 2709 2472 3048 	52 	43 43 43 43 43 43 
ENST00000430252 ENST00000540275 	ENST00000599232 	435 435 	38 	435 435 	38 	53 53 	53 
ENST00000514253 	ENST00000511844 	495 	137 	495 	137 	53 	52 
ENST00000569248 ENST00000563505 	ENST00000568313 	1317 839 	880 	1317 839 	880 	53 53 	52 
ENST00000526794 ENST00000557893 ENST00000540225 ENST00000256594 	ENST00000264896 	6604 1426 2296 2214 	3693 	6604 1426 2296 2214 	3693 	53 53 53 53 	53 
ENST00000309558 	ENST00000372037 	4934 	7288 	4934 	7298 	52 	43 
ENST00000570630 ENST00000448504 	ENST00000592645 ENST00000590402 ENST00000591744 	3465 3465 	95 432 493 	3465 3465 	95 432 493 	52 52 	53 53 53 
ENST00000564704 	ENST00000258201 	494 	659 	494 	659 	53 	52 
ENST00000419932 	ENST00000527521 ENST00000280258 ENST00000441050 	242 	237 512 209 	242 	237 512 209 	50 	52 52 52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3760 	98 96 238 	3760 	98 96 238 	52 	53 53 53 
ENST00000406462 	ENST00000348264 ENST00000302500 	5251 	944 1136 	5251 	944 1136 	53 	52 52 
ENST00000449131 	ENST00000492727 ENST00000450676 	4142 	92 94 	4142 	92 94 	53 	53 53 
ENST00000361681 ENST00000506002 	ENST00000361567 ENST00000511037 	426 426 	1768 1768 	430 430 	1768 1768 	49 49 	44 44 
ENST00000449131 	ENST00000392455 ENST00000392456 	3782 	1099 1619 	3782 	1099 1619 	53 	50 50 
ENST00000449131 	ENST00000492727 ENST00000450676 	4128 	92 94 	4128 	92 94 	52 	53 53 
ENST00000601871 	ENST00000484412 ENST00000442730 ENST00000494862 	1465 	501 538 232 	1465 	501 538 232 	53 	52 52 52 
ENST00000378662 ENST00000234800 ENST00000508280 	ENST00000578049 	4208 3874 1535 	507 	4208 3874 1535 	507 	40 40 40 	53 
ENST00000449131 	ENST00000492727 	4177 	86 	4177 	86 	53 	53 
ENST00000592379 	ENST00000475608 	57 	25 	57 	25 	53 	51 
ENST00000572705 ENST00000399759 ENST00000571088 ENST00000399756 ENST00000174621 	ENST00000357037 	3319 3245 3258 3571 3328 	2282 	3320 3246 3259 3572 3329 	2282 	52 52 52 52 52 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3379 	797 330 348 214 212 353 385 353 330 	3379 	797 330 348 214 212 353 385 353 330 	53 	50 50 50 50 50 50 50 50 50 
ENST00000455611 	ENST00000502586 ENST00000504292 	2293 	645 288 	2293 	645 288 	53 	52 52 
ENST00000441905 	ENST00000469275 ENST00000452104 	464 	2512 461 	464 	2512 461 	42 	52 52 
ENST00000314675 	ENST00000319041 	2089 	624 	2089 	624 	53 	52 
ENST00000470165 ENST00000416979 	ENST00000463515 ENST00000370168 ENST00000370169 ENST00000339310 ENST00000299206 ENST00000370172 ENST00000415897 ENST00000485369 ENST00000429502 ENST00000470140 ENST00000370162 ENST00000370158 ENST00000456836 	335 148 	1908 530 1354 1283 1664 1302 1063 563 592 722 1788 1283 621 	335 148 	1908 530 1354 1283 1664 1302 1063 563 592 722 1788 1283 621 	53 53 	52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000463943 	ENST00000507623 ENST00000380638 	400 	59 59 	400 	59 59 	52 	53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	3005 2906 2660 	228 	3005 2906 2660 	228 	53 53 53 	53 
ENST00000449131 	ENST00000498161 ENST00000450676 ENST00000599364 	4152 	45 66 45 	4152 	45 66 45 	49 	52 52 52 
ENST00000314675 	ENST00000319041 	2089 	643 	2089 	643 	53 	53 
ENST00000438444 ENST00000395880 	ENST00000443358 ENST00000376649 ENST00000322060 ENST00000542167 ENST00000538037 ENST00000544662 ENST00000456665 ENST00000544213 ENST00000535067 ENST00000537484 ENST00000440818 	311 46 	449 842 312 936 429 369 366 476 420 300 420 	322 57 	449 842 312 936 429 369 366 476 420 300 420 	34 34 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000606080 	ENST00000469867 ENST00000461972 ENST00000555870 	6775 	2332 2469 3430 	6793 	2332 2469 3430 	35 	52 52 52 
ENST00000263511 	ENST00000548898 ENST00000548117 ENST00000552067 ENST00000548160 ENST00000546939 ENST00000552692 ENST00000549117 ENST00000257857 ENST00000550050 ENST00000552754 ENST00000550776 ENST00000552164 ENST00000551173 ENST00000420846 	4713 	275 172 294 343 474 644 940 782 561 442 641 696 646 688 	4714 	275 172 294 343 474 644 940 782 561 442 641 696 646 688 	52 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000281382 	ENST00000437982 ENST00000449922 ENST00000415552 ENST00000555758 	1228 	416 416 455 416 	1228 	416 416 455 416 	53 	51 51 51 51 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1116 1133 	307 258 	1116 1133 	307 258 	53 53 	52 52 
ENST00000449131 	ENST00000517577 ENST00000492727 	3743 	222 219 	3743 	222 219 	52 	53 53 
ENST00000311852 	ENST00000425464 ENST00000423143 ENST00000438750 ENST00000451546 ENST00000375784 ENST00000375779 ENST00000375780 ENST00000395892 ENST00000457485 ENST00000423804 ENST00000447369 ENST00000447338 ENST00000400052 ENST00000383404 ENST00000383405 ENST00000400058 ENST00000456863 ENST00000434202 ENST00000420458 ENST00000433916 ENST00000422167 ENST00000438708 ENST00000431921 ENST00000415179 ENST00000418285 ENST00000423055 ENST00000442045 ENST00000435242 	2899 	349 222 655 292 349 222 655 292 349 222 655 292 349 222 655 292 349 222 655 292 349 222 655 292 349 222 655 292 	2899 	349 222 655 292 349 222 655 292 349 222 655 292 349 222 655 292 349 222 655 292 349 222 655 292 349 222 655 292 	53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000332290 	ENST00000480008 	3075 	921 	3075 	921 	52 	52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000401609 ENST00000216146 ENST00000465618 ENST00000467105 ENST00000402527 ENST00000481985 ENST00000471290 ENST00000453303 	2249 2150 1904 	759 914 1580 171 971 170 113 821 	2249 2150 1904 	759 914 1580 171 971 170 113 821 	52 52 52 	53 53 53 53 53 53 53 53 
ENST00000554081 	ENST00000557324 	3100 	548 	3100 	548 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	178 137 	484 	178 137 	53 	52 52 
ENST00000486975 	ENST00000526890 	1090 	1965 	1090 	1973 	33 	34 
ENST00000451365 ENST00000607211 	ENST00000424626 ENST00000595433 	561 561 	872 872 	561 561 	872 872 	52 52 	53 53 
ENST00000537279 	ENST00000473038 	317 	10 	317 	10 	53 	47 
ENST00000394848 	ENST00000291442 	1694 	2288 	1702 	2288 	33 	53 
ENST00000514253 	ENST00000511844 	498 	102 	498 	102 	53 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	348 	83 26 	348 	83 26 	52 	50 50 
ENST00000514253 	ENST00000511844 	495 	87 	495 	87 	53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	371 	73 16 	372 	73 16 	52 	52 52 
ENST00000601871 	ENST00000303436 ENST00000496292 ENST00000489843 ENST00000486310 ENST00000483848 ENST00000463880 	972 	549 385 284 532 229 541 	972 	549 385 284 532 229 541 	53 	53 53 53 53 53 53 
ENST00000586748 ENST00000253031 ENST00000592646 	ENST00000327064 ENST00000586221 	1433 1387 835 	2958 2687 	1438 1392 840 	2958 2687 	46 46 46 	52 52 
ENST00000595378 	ENST00000553696 	628 	471 	628 	471 	53 	52 
ENST00000392857 	ENST00000392288 	5825 	4791 	5825 	4791 	51 	52 
ENST00000599628 	ENST00000375712 	1319 	4359 	1323 	4359 	31 	53 
ENST00000263275 	ENST00000517692 ENST00000455176 	1709 	671 58 	1712 	692 79 	32 	32 32 
ENST00000449131 	ENST00000517577 	3739 	247 	3740 	247 	52 	46 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3760 	101 99 241 	3760 	101 99 241 	52 	53 53 53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	360 	664 673 677 559 	360 	664 673 677 559 	53 	53 53 53 53 
ENST00000572977 ENST00000572267 	ENST00000575132 	2069 379 	616 	2069 379 	616 	53 53 	53 
ENST00000356970 ENST00000369971 ENST00000415331 ENST00000369969 ENST00000369968 	ENST00000441735 	4551 4573 4433 4081 3889 	520 	4551 4573 4433 4081 3889 	520 	53 53 53 53 53 	53 
ENST00000592379 	ENST00000475608 	65 	11 	65 	11 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	137 96 	484 	137 96 	53 	53 53 
ENST00000367088 ENST00000431118 ENST00000293272 ENST00000366113 ENST00000463941 ENST00000366844 ENST00000519973 ENST00000399967 ENST00000603197 ENST00000605140 ENST00000605509 ENST00000609811 	ENST00000261497 ENST00000537526 	992 1711 708 587 573 8635 3617 1614 708 587 573 483 	3846 3606 	1013 1732 729 608 594 8656 3638 1635 729 608 594 504 	3846 3606 	32 32 32 32 32 32 32 32 32 32 32 32 	53 53 
ENST00000466096 ENST00000435930 	ENST00000400335 ENST00000400338 ENST00000492313 ENST00000370904 ENST00000418501 ENST00000466048 ENST00000424265 ENST00000339859 ENST00000497106 ENST00000408019 ENST00000428547 ENST00000422491 ENST00000394811 ENST00000323013 ENST00000319211 ENST00000340855 ENST00000595787 	3889 1768 	2800 2851 664 185 3356 3660 4187 5233 4516 5149 4699 2601 5008 3529 3253 5315 5315 	3895 1774 	2800 2851 664 185 3356 3660 4187 5233 4516 5149 4699 2601 5008 3529 3253 5315 5315 	46 46 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 
ENST00000514653 ENST00000529613 	ENST00000443807 ENST00000343435 ENST00000498289 	268 401 	3 60 64 	269 402 	3 60 64 	31 31 	40 40 40 
ENST00000589997 	ENST00000491205 ENST00000597328 	4541 	76 76 	4541 	76 76 	53 	36 36 
ENST00000320934 	ENST00000529622 	4523 	407 	4523 	407 	53 	53 
ENST00000492999 ENST00000486695 ENST00000467671 	ENST00000483598 ENST00000432393 ENST00000599500 	71 71 71 	104 223 223 	71 71 71 	104 223 223 	53 53 53 	50 50 50 
ENST00000377453 	ENST00000561623 ENST00000564747 ENST00000356183 ENST00000569653 ENST00000562609 	3270 	6142 1988 6210 508 2634 	3270 	6142 1988 6210 508 2634 	53 	38 38 38 38 38 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3005 2906 2660 	278 	3005 2906 2660 	278 	53 53 53 	52 
ENST00000602976 	ENST00000521386 	1474 	3855 	1474 	3871 	50 	33 
ENST00000314675 	ENST00000319041 	2117 	615 	2117 	615 	53 	52 
ENST00000559127 ENST00000374449 ENST00000373457 ENST00000479393 ENST00000433028 ENST00000561857 ENST00000360121 ENST00000367069 ENST00000449822 ENST00000468376 ENST00000467703 ENST00000343255 ENST00000492112 ENST00000485841 ENST00000520710 ENST00000474266 ENST00000379406 ENST00000497143 ENST00000477452 ENST00000418100 ENST00000274629 ENST00000216024 ENST00000535113 ENST00000259253 ENST00000375990 ENST00000588039 ENST00000373510 ENST00000487404 ENST00000587380 ENST00000586240 ENST00000505343 ENST00000327473 ENST00000536716 ENST00000426371 	ENST00000492689 	1173 1472 254 413 538 1762 6567 2310 1616 3908 2761 1333 1328 3669 1717 721 3316 1872 822 1978 3252 1950 3339 6541 6825 559 6549 139 71 2287 -12 1712 1743 821 	1207 	1187 1486 268 427 552 1776 6581 2324 1630 3922 2775 1347 1342 3683 1731 735 3330 1886 836 1992 3266 1964 3353 6555 6839 573 6563 153 85 2301 2 1726 1757 835 	1207 	37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 	42 
ENST00000463943 	ENST00000335179 ENST00000545072 	389 	70 13 	389 	70 13 	53 	53 53 
ENST00000464843 ENST00000484427 ENST00000471144 ENST00000588771 ENST00000378268 ENST00000486378 ENST00000469358 ENST00000462127 ENST00000583950 	ENST00000420886 ENST00000267176 	639 3626 2123 175 476 639 639 609 666 	9036 9033 	639 3626 2123 175 476 639 639 609 666 	9037 9034 	53 53 53 53 53 53 53 53 53 	52 52 
ENST00000526743 	ENST00000534706 	1693 	659 	1713 	659 	33 	53 
ENST00000528327 	ENST00000361624 ENST00000414273 	1053 	1115 1116 	1053 	1125 1126 	43 	34 34 
ENST00000435830 	ENST00000422177 	3431 	1479 	3442 	1499 	34 	32 
ENST00000442281 	ENST00000383605 ENST00000383619 ENST00000478740 ENST00000376822 ENST00000462536 ENST00000461996 ENST00000492107 ENST00000549224 	240 	362 330 27 26 23 21 21 74 	240 	362 330 27 26 23 21 21 74 	47 	50 50 50 50 50 50 50 50 
ENST00000478968 ENST00000394783 ENST00000407584 ENST00000266014 	ENST00000418458 ENST00000394799 ENST00000496254 	1771 1569 2268 2039 	1937 1938 2048 	1771 1569 2268 2039 	1937 1938 2048 	52 52 52 52 	53 53 53 
ENST00000361681 	ENST00000361567 	391 	1607 	391 	1607 	53 	51 
ENST00000533285 	ENST00000481617 	830 	2212 	839 	2225 	39 	40 
ENST00000419932 	ENST00000526104 ENST00000325207 ENST00000527696 ENST00000527728 ENST00000527039 ENST00000530149 	142 	2231 1212 1093 571 417 904 	152 	2231 1212 1093 571 417 904 	38 	53 53 53 53 53 53 
ENST00000595278 	ENST00000506595 ENST00000505128 ENST00000513838 ENST00000401977 ENST00000504338 ENST00000507904 ENST00000506169 ENST00000505597 	1165 	11 22 232 26 46 40 35 361 	1172 	11 22 232 26 46 40 35 361 	45 	53 53 53 53 53 53 53 53 
ENST00000510406 	ENST00000416543 ENST00000433009 ENST00000510876 	3 	740 309 419 	3 	740 309 419 	52 	53 53 53 
ENST00000599809 ENST00000595520 ENST00000594734 ENST00000598562 ENST00000597084 ENST00000412930 ENST00000439516 	ENST00000225724 	277 277 283 283 283 277 277 	2112 	278 278 284 284 284 278 278 	2112 	52 52 52 52 52 52 52 	32 
ENST00000391684 	ENST00000359786 ENST00000438665 ENST00000575158 ENST00000545534 ENST00000573198 ENST00000571851 ENST00000570984 ENST00000576822 ENST00000361007 	881 	939 780 686 785 45 241 609 311 618 	888 	951 792 698 797 57 253 621 323 630 	46 	41 41 41 41 41 41 41 41 41 
ENST00000603274 	ENST00000359635 ENST00000493512 ENST00000466304 ENST00000435618 ENST00000489762 ENST00000421349 ENST00000463832 	181 	39 17 26 83 17 67 17 	181 	39 17 26 83 17 67 17 	52 	51 51 51 51 51 51 51 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4129 	97 299 99 99 	4129 	97 299 99 99 	51 	52 52 52 52 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000510019 	278 	200 210 255 	278 	200 210 255 	53 	52 52 52 
ENST00000361681 	ENST00000374866 	491 	1911 	491 	1911 	34 	52 
ENST00000321521 	ENST00000409562 	7871 	2918 	7883 	2918 	41 	51 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	386 	641 650 654 536 	386 	641 650 654 536 	53 	53 53 53 53 
ENST00000592379 	ENST00000475608 	54 	6 	54 	6 	53 	52 
ENST00000508976 	ENST00000372930 	1933 	1148 	1952 	1148 	33 	53 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000450676 	4155 	112 110 112 	4155 	112 110 112 	53 	53 53 53 
