ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	391 	662 671 675 557 	391 	662 671 675 557 	53 	52 52 52 52 
ENST00000589613 ENST00000491289 ENST00000579014 ENST00000462972 ENST00000561733 ENST00000396834 ENST00000571995 ENST00000560342 ENST00000557830 	ENST00000591615 ENST00000372453 ENST00000535523 	710 260 1610 122 328 203 1890 791 420 	1548 958 1233 	710 260 1610 122 328 203 1890 791 420 	1548 958 1233 	52 52 52 52 52 52 52 52 52 	35 35 35 
ENST00000585057 ENST00000472125 ENST00000464873 	ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000426059 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	852 656 1872 	859 860 860 860 964 860 865 859 860 865 860 860 860 860 	852 656 1872 	859 860 860 860 964 860 865 859 860 865 860 860 860 860 	42 42 42 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000369681 	ENST00000493804 	7322 	658 	7338 	658 	37 	53 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4143 	112 110 312 112 112 	4144 	112 110 312 112 112 	52 	53 53 53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3017 2918 2672 	306 	3017 2918 2672 	306 	53 53 53 	53 
ENST00000536084 	ENST00000400479 	2220 	868 	2220 	868 	46 	53 
ENST00000449131 	ENST00000498161 ENST00000599364 	4209 	50 50 	4209 	50 50 	51 	53 53 
ENST00000481001 ENST00000438585 ENST00000441576 ENST00000460505 ENST00000341949 ENST00000498498 ENST00000498794 ENST00000440857 ENST00000313778 ENST00000472331 ENST00000467457 ENST00000395462 	ENST00000452875 	549 520 1570 1750 1603 969 2854 1883 1837 943 1492 1548 	3742 	549 520 1570 1750 1603 969 2854 1883 1837 943 1492 1548 	3742 	52 52 52 52 52 52 52 52 52 52 52 52 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3072 2973 2727 	305 	3072 2973 2727 	305 	52 52 52 	53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1093 1110 	265 	1093 1110 	265 	53 53 	53 
ENST00000547992 	ENST00000547281 ENST00000550419 	2425 	709 817 	2427 	709 817 	50 	53 53 
ENST00000418543 ENST00000546754 ENST00000548381 ENST00000553179 	ENST00000597961 	233 231 219 203 	19 	233 231 219 203 	19 	53 53 53 53 	53 
ENST00000466212 	ENST00000229633 	2935 	1687 	2936 	1687 	52 	53 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000528382 	1266 861 1269 	214 	1266 861 1269 	214 	53 53 53 	53 
ENST00000514253 	ENST00000511844 	508 	120 	508 	120 	53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	77 20 	376 	77 20 	53 	52 52 
ENST00000394657 	ENST00000273550 ENST00000532829 ENST00000534180 ENST00000526640 ENST00000532601 ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 ENST00000599364 	2349 	606 570 641 463 435 815 348 371 366 372 373 571 371 371 348 	2349 	606 570 641 463 435 815 348 371 366 372 373 571 371 371 348 	53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3413 	825 358 381 376 382 383 381 358 	3413 	825 358 381 376 382 383 381 358 	52 	53 53 53 53 53 53 53 53 
ENST00000593099 ENST00000412522 ENST00000594263 	ENST00000399012 ENST00000381657 	3337 2252 270 	1377 1594 	3357 2272 290 	1377 1594 	32 32 32 	53 53 
ENST00000514253 	ENST00000511844 	497 	135 	497 	135 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1090 1107 	168 	1091 1108 	168 	50 50 	53 
ENST00000551193 	ENST00000548909 ENST00000551467 ENST00000548098 	363 	546 668 234 	363 	546 668 234 	53 	52 52 52 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1152 1169 	262 213 	1152 1169 	262 213 	53 53 	37 37 
ENST00000592379 	ENST00000475608 	153 	7 	153 	7 	53 	51 
ENST00000570780 ENST00000391950 	ENST00000441206 	1092 1109 	207 	1092 1109 	207 	53 53 	43 
ENST00000480768 	ENST00000498201 	1121 	448 	1128 	463 	37 	33 
ENST00000314675 	ENST00000319041 	2087 	555 	2087 	555 	53 	53 
ENST00000345662 ENST00000315285 ENST00000594104 ENST00000591517 ENST00000525841 	ENST00000308580 	3608 3608 784 2470 298 	2938 	3608 3608 784 2470 298 	2938 	51 51 51 51 51 	52 
ENST00000268124 ENST00000442287 ENST00000530292 	ENST00000561894 ENST00000566615 	4357 4359 1206 	3162 449 	4357 4359 1206 	3162 449 	53 53 53 	39 39 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4146 	113 111 313 113 113 	4146 	113 111 313 113 113 	52 	53 53 53 53 53 
ENST00000592379 	ENST00000582736 	23 	54 	23 	54 	51 	53 
ENST00000319863 ENST00000354286 ENST00000593704 	ENST00000606017 	3460 3076 309 	1334 	3460 3076 309 	1334 	52 52 52 	47 
ENST00000514253 	ENST00000510019 ENST00000429775 	447 	210 35 	447 	210 35 	53 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3800 	86 84 226 	3800 	86 84 226 	52 	52 52 52 
ENST00000380860 ENST00000502979 	ENST00000348126 	930 600 	1496 	930 600 	1496 	53 53 	52 
ENST00000352732 ENST00000355100 	ENST00000585042 	7889 7842 	414 	7889 7842 	414 	52 52 	53 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000517577 ENST00000599364 	3776 	210 92 90 231 232 210 	3776 	210 92 90 231 232 210 	52 	52 52 52 52 52 52 
ENST00000391946 ENST00000585434 ENST00000470402 	ENST00000588652 ENST00000391942 ENST00000391944 	1719 1708 1759 	2275 1358 1981 	1719 1708 1759 	2275 1358 1981 	53 53 53 	51 51 51 
ENST00000326793 	ENST00000607016 ENST00000262293 ENST00000578542 ENST00000599056 ENST00000601421 ENST00000429604 ENST00000418871 	3887 	2520 1467 1220 3769 4237 3884 3767 	3887 	2520 1467 1220 3769 4237 3884 3767 	36 	52 52 52 52 52 52 52 
ENST00000603274 ENST00000417944 ENST00000451967 ENST00000450479 ENST00000580020 	ENST00000457879 ENST00000438861 ENST00000453975 ENST00000487534 ENST00000460542 ENST00000470534 ENST00000547271 ENST00000479494 ENST00000476132 ENST00000453057 ENST00000455882 ENST00000471291 ENST00000413609 ENST00000547522 	116 116 116 116 116 	496 464 160 157 155 155 177 153 153 153 153 153 153 177 	129 129 129 129 129 	496 464 160 157 155 155 177 153 153 153 153 153 153 177 	40 40 40 40 40 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000356215 	ENST00000301178 ENST00000359092 ENST00000593513 	2564 	2636 2577 2018 	2564 	2636 2577 2018 	53 	53 53 53 
ENST00000336715 	ENST00000368873 ENST00000529142 	4743 	3224 2488 	4743 	3224 2488 	53 	53 53 
ENST00000355209 ENST00000337566 ENST00000431534 ENST00000432789 ENST00000396504 	ENST00000300933 ENST00000588032 ENST00000591226 	1287 1217 1352 1508 1008 	1775 449 2448 	1287 1217 1352 1508 1008 	1775 449 2448 	53 53 53 53 53 	53 53 53 
ENST00000477173 	ENST00000493035 	215 	826 	215 	826 	51 	44 
ENST00000321442 	ENST00000259253 ENST00000375990 	2622 	9817 10101 	2633 	9817 10101 	32 	53 53 
ENST00000546192 	ENST00000540535 ENST00000541656 ENST00000446652 ENST00000489781 ENST00000485724 	2231 	493 532 390 1619 505 	2231 	493 532 390 1619 505 	53 	53 53 53 53 53 
ENST00000262866 	ENST00000558530 	2649 	833 	2649 	833 	52 	53 
ENST00000466489 	ENST00000342607 ENST00000449592 ENST00000411958 	294 	2033 3622 308 	294 	2033 3622 308 	53 	53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3492 	824 357 380 375 381 382 380 357 	3492 	824 357 380 375 381 382 380 357 	53 	51 51 51 51 51 51 51 51 
ENST00000361681 ENST00000506002 	ENST00000361567 	434 434 	1702 	434 434 	1702 	53 53 	52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	87 85 227 	3744 	87 85 227 	53 	53 53 53 
ENST00000489060 	ENST00000586722 ENST00000458297 ENST00000566753 ENST00000481617 ENST00000295025 ENST00000552937 ENST00000549640 ENST00000549785 ENST00000551028 ENST00000550234 ENST00000547979 	2315 	1051 969 1330 3521 8031 332 332 332 332 332 332 	2315 	1060 978 1339 3530 8040 341 341 341 341 341 341 	52 	42 42 42 42 42 42 42 42 42 42 42 
ENST00000508814 	ENST00000510210 ENST00000512493 	283 	210 220 	283 	210 220 	53 	53 53 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3759 	209 91 89 231 209 	3759 	209 91 89 231 209 	52 	53 53 53 53 53 
ENST00000592379 	ENST00000475608 	141 	7 	141 	7 	53 	51 
ENST00000592379 	ENST00000424789 ENST00000389520 ENST00000583356 	40 	583 579 365 	40 	583 579 365 	53 	53 53 53 
ENST00000592379 	ENST00000582736 	23 	88 	23 	88 	51 	53 
ENST00000469767 ENST00000604225 ENST00000577127 ENST00000572089 	ENST00000527614 ENST00000576276 	997 997 997 997 	2988 2988 	997 997 997 997 	2989 2989 	53 53 53 53 	51 51 
ENST00000476487 	ENST00000514633 	2093 	1417 	2093 	1417 	53 	33 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000450676 	4159 	113 111 113 	4159 	113 111 113 	52 	53 53 53 
ENST00000514253 	ENST00000510019 	463 	189 	463 	189 	53 	51 
ENST00000368301 ENST00000515711 ENST00000368300 ENST00000478063 ENST00000470199 ENST00000368299 ENST00000347559 ENST00000361308 	ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000492816 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000456923 ENST00000490833 ENST00000480737 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	478 486 49 45 45 34 86 86 	5002 5276 5003 5003 5380 3523 5003 5008 5275 5003 1158 116 177 5003 5003 5003 5003 	478 486 49 45 45 34 86 86 	5002 5276 5003 5003 5380 3523 5003 5008 5275 5003 1158 116 177 5003 5003 5003 5003 	51 51 51 51 51 51 51 51 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000592379 	ENST00000582736 ENST00000475608 	30 	52 37 	30 	52 37 	53 	45 45 
ENST00000397602 ENST00000442682 ENST00000422794 	ENST00000560240 ENST00000588300 	928 931 930 	158 930 	948 951 950 	160 932 	31 31 31 	31 31 
ENST00000449131 	ENST00000517577 ENST00000492727 	3741 	219 216 	3742 	219 216 	51 	53 53 
ENST00000591118 ENST00000587485 	ENST00000367296 ENST00000367295 ENST00000295624 ENST00000367297 ENST00000367300 	150 150 	11889 10443 11807 11792 11636 	159 159 	11905 10459 11823 11808 11652 	31 31 	31 31 31 31 31 
ENST00000514253 	ENST00000510019 	481 	190 	481 	190 	53 	53 
ENST00000504897 	ENST00000475650 ENST00000409939 ENST00000478158 	2894 	2303 3169 4438 	2894 	2303 3169 4438 	52 	53 53 53 
ENST00000526743 	ENST00000534706 ENST00000530016 	1853 	546 364 	1853 	546 364 	53 	51 51 
ENST00000261653 ENST00000392373 ENST00000512825 ENST00000593250 ENST00000393218 ENST00000554080 	ENST00000308580 	1477 1531 1023 949 256 204 	2868 	1477 1531 1023 949 256 204 	2868 	51 51 51 51 51 51 	53 
ENST00000603274 ENST00000417944 ENST00000451967 ENST00000450479 ENST00000580020 	ENST00000457879 ENST00000438861 ENST00000453975 ENST00000487534 ENST00000460542 ENST00000470534 ENST00000547271 ENST00000479494 ENST00000476132 ENST00000453057 ENST00000455882 ENST00000471291 ENST00000413609 ENST00000547522 	118 118 118 118 118 	502 470 166 163 161 161 183 159 159 159 159 159 159 183 	129 129 129 129 129 	502 470 166 163 161 161 183 159 159 159 159 159 159 183 	42 42 42 42 42 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3407 	804 337 355 221 219 361 360 392 360 337 	3407 	804 337 355 221 219 361 360 392 360 337 	53 	52 52 52 52 52 52 52 52 52 52 
ENST00000508814 ENST00000514253 	ENST00000510019 	307 238 	191 	307 238 	191 	53 53 	53 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 ENST00000511844 	279 210 	129 139 184 143 	279 210 	129 139 184 143 	53 53 	53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 ENST00000599364 	3492 	815 348 371 366 372 373 571 371 371 348 	3492 	815 348 371 366 372 373 571 371 371 348 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	75 73 215 	3744 	75 73 215 	53 	52 52 52 
ENST00000376317 	ENST00000357066 	2558 	2555 	2558 	2555 	53 	52 
ENST00000466830 	ENST00000429369 ENST00000463512 	5252 	68 1053 	5252 	68 1053 	53 	52 52 
ENST00000449131 	ENST00000498161 ENST00000450676 ENST00000599364 	4151 	45 66 45 	4151 	45 66 45 	50 	52 52 52 
ENST00000329474 ENST00000476458 	ENST00000570101 ENST00000219320 ENST00000564100 	4628 488 	3197 3040 2778 	4628 488 	3210 3053 2791 	32 32 	40 40 40 
ENST00000329474 ENST00000476458 	ENST00000570101 ENST00000219320 ENST00000564100 	4628 488 	3197 3040 2778 	4628 488 	3210 3053 2791 	32 32 	40 40 40 
ENST00000603274 ENST00000450479 	ENST00000457879 ENST00000438861 ENST00000453975 ENST00000487534 ENST00000460542 ENST00000470534 ENST00000547271 ENST00000479494 ENST00000476132 ENST00000453057 ENST00000455882 ENST00000471291 ENST00000413609 ENST00000547522 	117 117 	489 457 153 150 148 148 170 146 146 146 146 146 146 170 	129 129 	489 457 153 150 148 148 170 146 146 146 146 146 146 170 	41 41 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 
ENST00000269221 ENST00000589215 ENST00000590868 ENST00000591367 ENST00000593081 ENST00000589409 	ENST00000588867 	2095 1882 1941 654 608 642 	1835 	2095 1882 1941 654 608 642 	1835 	53 53 53 53 53 53 	53 
ENST00000508814 	ENST00000510019 	299 	237 	299 	237 	52 	53 
ENST00000592379 	ENST00000475608 	143 	7 	143 	7 	53 	51 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3436 	797 330 348 214 212 553 353 385 353 330 	3436 	797 330 348 214 212 553 353 385 353 330 	53 	50 50 50 50 50 50 50 50 50 50 
ENST00000321725 ENST00000462741 ENST00000469989 	ENST00000462261 ENST00000459839 ENST00000492555 ENST00000469616 	7830 2064 573 	1432 1521 1886 388 	7830 2064 573 	1432 1521 1886 388 	53 53 53 	52 52 52 52 
ENST00000361681 ENST00000506002 	ENST00000361567 	407 407 	1709 	407 407 	1709 	51 51 	53 
ENST00000361681 	ENST00000361567 ENST00000511037 	391 	1775 1775 	391 	1775 1775 	53 	37 37 
ENST00000592379 	ENST00000437246 	54 	70 	54 	70 	53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3017 2918 2672 	324 	3017 2918 2672 	324 	53 53 53 	52 
ENST00000592379 	ENST00000371646 ENST00000353801 ENST00000371554 ENST00000505987 	153 	1794 1807 1899 1683 	153 	1794 1807 1899 1683 	53 	52 52 52 52 
ENST00000515098 ENST00000513162 	ENST00000514354 ENST00000511078 ENST00000510363 	3240 3998 	180 192 182 	3240 3998 	180 192 182 	52 52 	51 51 51 
ENST00000409858 ENST00000360271 ENST00000474787 	ENST00000485599 ENST00000444724 ENST00000369985 ENST00000369981 ENST00000588303 ENST00000395337 ENST00000586448 ENST00000255226 ENST00000589658 ENST00000339834 ENST00000572732 ENST00000227155 ENST00000524750 ENST00000528276 ENST00000441801 ENST00000367942 	3123 2958 4170 	397 2739 7893 7982 489 4300 3394 3889 1594 531 1400 1423 545 354 1254 2831 	3134 2969 4181 	397 2739 7893 7982 489 4300 3394 3889 1594 531 1400 1423 545 354 1254 2831 	31 31 31 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000321725 ENST00000462741 ENST00000469989 	ENST00000459839 ENST00000492555 	7856 2090 599 	1534 1899 	7857 2091 600 	1534 1899 	52 52 52 	53 53 
ENST00000350777 	ENST00000261653 ENST00000392373 	3038 	1354 1408 	3038 	1355 1409 	52 	51 51 
ENST00000592379 	ENST00000582736 	41 	88 	41 	88 	53 	53 
ENST00000314675 	ENST00000319041 	2070 	621 	2070 	621 	53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3747 	97 95 237 	3747 	97 95 237 	53 	53 53 53 
ENST00000306480 ENST00000296414 	ENST00000592983 	6045 2620 	2190 	6045 2620 	2190 	51 51 	53 
ENST00000321725 ENST00000462741 ENST00000469989 	ENST00000459839 ENST00000492555 	7859 2093 602 	1555 1920 	7859 2093 602 	1555 1920 	53 53 53 	53 53 
ENST00000514253 	ENST00000510019 	473 	191 	473 	191 	53 	53 
ENST00000435225 	ENST00000398558 ENST00000589157 	10 	1440 425 	15 	1440 425 	48 	53 53 
ENST00000361681 	ENST00000361567 	360 	1745 	360 	1745 	52 	53 
ENST00000490638 	ENST00000287169 	1556 	1097 	1556 	1097 	51 	52 
ENST00000361681 	ENST00000260983 ENST00000409111 	154 	878 743 	172 	878 743 	35 	53 53 
ENST00000595283 	ENST00000525222 	39 	2706 	39 	2706 	53 	53 
ENST00000355209 ENST00000396504 	ENST00000446607 	2862 2583 	1910 	2862 2583 	1910 	52 52 	53 
ENST00000335185 	ENST00000526267 ENST00000525054 	3694 	475 516 	3694 	475 516 	53 	53 53 
ENST00000361681 	ENST00000361567 	309 	1755 	309 	1755 	53 	53 
ENST00000449131 	ENST00000517577 	3747 	243 	3747 	243 	37 	48 
ENST00000514253 	ENST00000510019 ENST00000511844 	476 	144 103 	476 	144 103 	53 	53 53 
ENST00000320934 	ENST00000529622 	4520 	420 	4520 	420 	53 	53 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3746 	213 95 93 235 213 	3746 	213 95 93 235 213 	53 	51 51 51 51 51 
ENST00000547992 	ENST00000553237 ENST00000546489 ENST00000540325 	1710 	824 719 824 	1710 	824 719 824 	53 	52 52 52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	101 99 241 	3744 	101 99 241 	53 	53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	97 95 237 	3759 	97 95 237 	52 	53 53 53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	373 	593 602 606 488 	373 	593 602 606 488 	53 	53 53 53 53 
ENST00000514253 	ENST00000511844 	495 	87 	495 	87 	53 	52 
ENST00000570780 ENST00000391950 	ENST00000441206 	1091 1108 	263 	1091 1108 	263 	50 50 	53 
ENST00000469528 ENST00000495588 	ENST00000605528 ENST00000467930 	132 8 	314 297 	132 8 	314 297 	52 52 	53 53 
ENST00000489786 	ENST00000439822 ENST00000438882 	4368 	1234 1224 	4368 	1234 1224 	53 	53 53 
ENST00000314675 	ENST00000319041 	2116 	603 	2116 	603 	51 	52 
ENST00000449131 	ENST00000492727 	4169 	108 	4169 	108 	53 	53 
ENST00000450479 	ENST00000383605 ENST00000383619 ENST00000376822 ENST00000462536 ENST00000461996 ENST00000492107 ENST00000549224 ENST00000457879 ENST00000438861 ENST00000453975 ENST00000487534 ENST00000460542 ENST00000470534 ENST00000547271 ENST00000396634 ENST00000376806 ENST00000376802 ENST00000495183 ENST00000479320 ENST00000461903 ENST00000376809 ENST00000479494 ENST00000476132 ENST00000453057 ENST00000455882 ENST00000471291 ENST00000413609 ENST00000547522 ENST00000429724 ENST00000499304 ENST00000449501 	77 	504 472 168 165 163 163 216 504 472 168 165 163 163 185 504 472 168 165 163 163 185 161 161 161 161 161 161 185 163 163 163 	83 	504 472 168 165 163 163 216 504 472 168 165 163 163 185 504 472 168 165 163 163 185 161 161 161 161 161 161 185 163 163 163 	31 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	443 	149 108 	443 	149 108 	53 	53 53 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	307 238 	183 142 	307 238 	183 142 	53 53 	51 51 
ENST00000361681 	ENST00000361567 	475 	1729 	475 	1729 	50 	52 
ENST00000335185 	ENST00000525054 	3764 	509 	3764 	509 	53 	53 
ENST00000373484 	ENST00000463378 	3344 	813 	3344 	813 	53 	51 
ENST00000526743 	ENST00000256646 	1655 	6914 	1655 	6914 	53 	53 
ENST00000592379 	ENST00000475608 	140 	6 	140 	6 	51 	52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3067 2968 2722 	287 	3067 2968 2722 	287 	53 53 53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3472 	827 360 383 378 384 385 383 360 	3472 	827 360 383 378 384 385 383 360 	49 	52 52 52 52 52 52 52 52 
ENST00000508814 	ENST00000510210 ENST00000512493 	278 	235 245 	278 	235 245 	53 	53 53 
ENST00000314675 	ENST00000319041 	2111 	613 	2111 	613 	53 	49 
ENST00000449131 	ENST00000498161 ENST00000599364 	4152 	41 41 	4152 	41 41 	49 	53 53 
ENST00000583315 	ENST00000515175 ENST00000513414 ENST00000510040 	1031 	152 79 21 	1031 	152 79 21 	53 	44 44 44 
ENST00000570780 ENST00000391950 	ENST00000520547 	1104 1121 	291 	1104 1121 	291 	53 53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	98 96 238 	3744 	98 96 238 	53 	53 53 53 
ENST00000409387 ENST00000379701 	ENST00000340067 	1845 1245 	2902 	1854 1254 	2902 	43 43 	52 
ENST00000263116 	ENST00000216027 ENST00000450178 ENST00000398941 ENST00000495977 	2460 	914 848 750 646 	2471 	914 848 750 646 	37 	37 37 37 37 
ENST00000345662 ENST00000315285 ENST00000594104 ENST00000591517 	ENST00000308580 	3609 3609 785 2471 	2837 	3609 3609 785 2471 	2837 	53 53 53 53 	52 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4151 	112 110 312 112 112 	4151 	112 110 312 112 112 	50 	53 53 53 53 53 
ENST00000598758 	ENST00000600493 	487 	447 	487 	447 	52 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 	3759 	82 80 222 219 	3759 	82 80 222 219 	52 	53 53 53 53 
ENST00000587860 ENST00000460133 ENST00000601579 ENST00000467747 ENST00000357137 ENST00000360835 ENST00000264914 	ENST00000542892 	13 4307 565 456 5309 5776 4673 	610 	13 4307 565 456 5309 5776 4673 	626 	53 53 53 53 53 53 53 	36 
ENST00000514253 	ENST00000511844 	495 	137 	495 	137 	53 	52 
ENST00000449131 	ENST00000492727 ENST00000450676 	4149 	92 94 	4149 	92 94 	52 	53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	76 19 	376 	76 19 	53 	53 53 
ENST00000314675 	ENST00000319041 	2123 	606 	2123 	606 	53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3415 	798 331 349 215 213 354 386 354 331 	3416 	798 331 349 215 213 354 386 354 331 	52 	53 53 53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1091 1108 	148 	1091 1108 	148 	46 46 	51 
ENST00000514253 	ENST00000510019 	462 	199 	463 	199 	51 	52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	103 101 243 	3744 	103 101 243 	53 	52 52 52 
ENST00000508814 	ENST00000510210 ENST00000512493 	278 	218 228 	279 	218 228 	52 	53 53 
ENST00000514253 	ENST00000510019 	484 	191 	484 	191 	53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3475 	806 339 362 357 223 221 363 562 362 394 362 339 	3475 	806 339 362 357 223 221 363 562 362 394 362 339 	53 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000511844 	494 	37 	495 	37 	52 	53 
ENST00000367048 ENST00000472052 	ENST00000544255 ENST00000420894 ENST00000392168 	3055 1525 	1310 1599 1808 	3055 1525 	1310 1599 1808 	53 53 	53 53 53 
ENST00000514253 	ENST00000511844 	492 	142 	492 	142 	53 	51 
ENST00000361681 ENST00000506002 	ENST00000361567 	427 427 	1687 	427 427 	1687 	53 53 	52 
ENST00000367069 	ENST00000315392 	3474 	2867 	3475 	2867 	31 	35 
ENST00000584259 ENST00000383578 ENST00000319815 	ENST00000323250 	3664 1512 2128 	519 	3664 1512 2128 	519 	53 53 53 	51 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3472 	798 331 349 215 213 554 354 386 354 331 	3472 	798 331 349 215 213 554 354 386 354 331 	49 	53 53 53 53 53 53 53 53 53 53 
ENST00000589373 	ENST00000417986 ENST00000593370 ENST00000434047 ENST00000444581 ENST00000455295 ENST00000453293 ENST00000443884 ENST00000452356 	368 	114 266 234 180 158 139 75 17 	368 	114 266 234 180 158 139 75 17 	33 	53 53 53 53 53 53 53 53 
ENST00000528029 	ENST00000565078 ENST00000570123 ENST00000568339 ENST00000568794 ENST00000253452 ENST00000562336 ENST00000563774 ENST00000561569 ENST00000564544 ENST00000566617 ENST00000564648 ENST00000564903 	3532 	496 201 191 130 129 252 138 137 105 185 63 63 	3532 	496 201 191 130 129 252 138 137 105 185 63 63 	53 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1086 1103 	148 	1086 1103 	148 	51 51 	51 
ENST00000570780 ENST00000391950 	ENST00000520547 	1154 1171 	253 	1154 1171 	253 	52 52 	51 
ENST00000234420 	ENST00000405808 	5391 	108 	5391 	108 	53 	53 
ENST00000420470 	ENST00000463545 	3976 	1580 	3976 	1593 	51 	32 
ENST00000242505 	ENST00000557141 	4134 	467 	4134 	467 	51 	52 
ENST00000514253 	ENST00000510019 	473 	212 	473 	212 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	294 	1116 1133 	294 	53 53 	53 
ENST00000484377 ENST00000468874 ENST00000573757 ENST00000573907 	ENST00000545369 ENST00000573887 	282 630 282 630 	893 893 	282 630 282 630 	893 893 	53 53 53 53 	53 53 
ENST00000592379 	ENST00000582736 	41 	98 	41 	98 	53 	53 
